ax,ay,az,gx,gy,gz
-6.31,-5.63,-3.18,-0.52,0.10,0.02
-6.47,-5.41,-3.03,-0.64,-0.03,-0.08
-7.25,-5.29,-3.00,-0.72,-0.10,-0.35
-7.57,-5.36,-3.00,-0.79,-0.13,-0.47
-7.65,-5.60,-2.87,-0.89,-0.12,-0.47
-7.19,-5.71,-2.61,-1.01,-0.13,-0.43
-6.58,-5.60,-2.34,-1.12,-0.20,-0.41
-6.68,-4.62,-2.12,-1.23,-0.34,-0.42
-7.35,-3.41,-2.06,-1.26,-0.46,-0.44
-8.25,-2.69,-2.21,-1.23,-0.52,-0.51
-8.79,-2.65,-2.59,-1.22,-0.51,-0.59
-9.01,-2.14,-2.85,-1.26,-0.46,-0.60
-8.79,-1.00,-2.89,-1.29,-0.40,-0.51
-8.21,0.00,-2.87,-1.23,-0.38,-0.43
-7.96,0.39,-2.93,-1.11,-0.41,-0.42
-8.42,0.50,-3.06,-1.00,-0.43,-0.41
-8.91,0.63,-3.19,-0.92,-0.41,-0.32
-9.05,0.52,-3.26,-0.88,-0.36,-0.17
-9.15,0.67,-3.34,-0.86,-0.31,-0.02
-9.29,0.99,-3.28,-0.83,-0.25,0.10
-9.20,1.26,-3.15,-0.78,-0.19,0.24
-8.97,1.26,-3.08,-0.71,-0.12,0.36
-8.41,1.16,-3.08,-0.61,-0.07,0.41
-7.69,0.80,-2.99,-0.49,-0.06,0.44
-6.84,0.56,-2.91,-0.36,-0.10,0.41
-6.76,0.15,-2.84,-0.21,-0.21,0.32
-7.49,-0.56,-2.99,-0.08,-0.28,0.18
-8.38,-1.51,-3.12,-0.03,-0.29,0.07
-9.15,-1.87,-3.20,-0.06,-0.25,0.07
-9.84,-1.73,-3.20,-0.11,-0.16,0.12
-10.04,-1.38,-3.19,-0.12,-0.05,0.10
-9.98,-1.28,-3.27,-0.12,0.05,0.06
-9.90,-0.84,-3.25,-0.12,0.15,0.02
-9.88,-0.29,-3.14,-0.10,0.24,0.06
-9.73,0.08,-2.98,-0.08,0.33,0.11
-9.64,0.47,-2.88,-0.05,0.41,0.15
-9.30,0.76,-2.73,0.00,0.50,0.19
-8.64,0.56,-2.69,0.05,0.57,0.23
-8.05,0.58,-2.67,0.06,0.60,0.30
-7.40,1.05,-2.55,0.09,0.59,0.37
-7.03,1.34,-2.60,0.19,0.55,0.37
-6.69,1.18,-2.73,0.32,0.48,0.29
-6.26,0.52,-2.89,0.43,0.41,0.22
-5.88,-0.23,-3.07,0.51,0.29,0.17
-6.46,-0.98,-3.34,0.54,0.16,0.13
-7.16,-1.46,-3.61,0.57,0.09,0.03
-7.66,-2.09,-3.83,0.59,0.07,-0.09
-7.67,-2.89,-3.96,0.58,0.07,-0.18
-7.53,-3.65,-4.03,0.53,0.05,-0.24
-7.68,-4.35,-4.01,0.44,0.01,-0.29
-8.08,-4.83,-4.04,0.32,0.00,-0.38
-8.33,-5.11,-4.08,0.18,0.05,-0.48
-7.79,-5.08,-4.03,0.01,0.13,-0.53
-7.02,-4.84,-4.00,-0.17,0.18,-0.46
-6.41,-4.94,-4.01,-0.35,0.23,-0.38
-5.51,-4.45,-3.96,-0.54,0.25,-0.26
-4.50,-3.61,-3.86,-0.63,0.20,-0.18
-4.15,-2.68,-3.98,-0.61,0.06,-0.26
-4.50,-2.41,-4.14,-0.50,-0.10,-0.40
-4.81,-2.94,-4.16,-0.40,-0.30,-0.49
-6.04,-3.29,-4.22,-0.34,-0.54,-0.49
-9.03,-3.29,-4.45,-0.27,-0.62,-0.63
-10.80,-3.66,-4.64,-0.19,-0.44,-0.76
-10.12,-4.30,-4.30,-0.23,-0.22,-0.56
-8.93,-4.60,-3.91,-0.35,-0.13,-0.20
-9.05,-4.19,-3.87,-0.43,-0.10,-0.06
-9.05,-3.79,-3.79,-0.43,-0.04,-0.14
-8.54,-3.81,-3.49,-0.46,0.03,-0.06
-7.53,-3.22,-3.11,-0.52,0.00,0.24
-7.79,-2.75,-2.95,-0.50,-0.09,0.37
-8.94,-2.95,-3.18,-0.43,-0.09,0.18
-9.59,-3.36,-3.43,-0.44,0.05,0.01
-8.91,-3.25,-3.53,-0.55,0.26,0.18
-7.45,-2.12,-3.56,-0.64,0.41,0.47
-5.60,-0.81,-3.46,-0.57,0.39,0.71
-4.66,0.27,-3.55,-0.33,0.18,0.72
-5.23,0.47,-3.65,0.06,-0.12,0.38
-7.09,-0.51,-3.87,0.42,-0.35,0.05
-9.33,-2.20,-4.19,0.62,-0.39,-0.06
-10.55,-3.88,-4.40,0.61,-0.21,-0.02
-9.70,-4.58,-4.31,0.48,0.04,0.08
-7.51,-4.15,-4.02,0.33,0.20,0.14
-6.00,-3.57,-3.86,0.24,0.24,0.20
-5.40,-2.89,-3.88,0.20,0.24,0.23
-4.86,-2.47,-3.93,0.21,0.21,0.32
-5.06,-2.80,-4.02,0.22,0.14,0.47
-5.71,-3.79,-4.22,0.20,0.09,0.51
-6.00,-3.82,-4.26,0.15,0.03,0.43
-7.11,-3.33,-4.53,0.13,-0.07,0.36
-8.20,-2.85,-4.87,0.18,-0.11,0.32
-8.20,-1.96,-4.65,0.29,-0.27,0.39
-10.04,-1.06,-4.32,0.51,-0.59,0.61
-14.09,-1.67,-4.21,0.83,-0.74,0.48
-16.37,-4.43,-4.24,1.05,-0.46,-0.05
-14.52,-6.89,-4.10,0.91,0.07,-0.39
-9.76,-7.34,-3.40,0.50,0.50,-0.19
-5.18,-5.71,-2.75,0.06,0.63,0.26
-3.22,-3.23,-2.39,-0.17,0.56,0.50
-2.55,-1.49,-2.35,-0.14,0.48,0.43
-1.91,-1.14,-2.30,-0.03,0.36,0.37
