ax,ay,az,gx,gy,gz
-7.80,1.44,-3.76,-0.01,0.14,-0.10
-7.86,1.08,-3.85,-0.04,0.15,-0.12
-7.79,1.18,-3.83,-0.08,0.14,-0.11
-7.86,1.58,-3.80,-0.09,0.14,-0.13
-7.75,1.63,-3.78,-0.07,0.15,-0.13
-8.12,1.82,-3.95,-0.04,0.17,-0.15
-8.10,2.21,-4.09,-0.02,0.23,-0.15
-7.03,2.85,-3.92,0.02,0.24,-0.01
-6.00,3.53,-3.62,0.12,0.18,0.12
-5.23,3.86,-3.40,0.28,0.04,0.15
-4.75,3.69,-3.19,0.47,-0.14,-0.03
-5.12,2.64,-3.04,0.65,-0.35,-0.27
-6.68,0.31,-3.31,0.66,-0.46,-0.46
-7.56,-0.60,-3.49,0.52,-0.46,-0.46
-7.90,-0.85,-3.51,0.34,-0.43,-0.30
-8.37,-0.70,-3.56,0.17,-0.41,-0.09
-9.00,-0.56,-3.79,0.04,-0.37,0.03
-10.06,-0.79,-4.51,-0.13,-0.27,0.12
-10.68,0.96,-4.88,-0.33,-0.08,0.33
-9.98,3.67,-4.81,-0.32,0.08,0.51
-9.31,5.41,-4.88,-0.09,0.17,0.55
-8.55,5.38,-5.16,0.22,0.19,0.47
-8.15,4.95,-5.54,0.48,0.16,0.41
-8.33,4.41,-5.66,0.73,0.12,0.40
-8.94,3.00,-5.53,0.92,0.10,0.40
-10.20,1.15,-5.43,1.04,0.09,0.39
-12.06,-0.89,-5.40,1.09,0.20,0.31
-13.12,-3.12,-5.18,1.06,0.45,0.04
-12.70,-5.67,-4.62,0.92,0.75,-0.23
-11.94,-8.34,-4.08,0.60,1.02,-0.37
-10.71,-10.26,-3.43,0.09,1.22,-0.46
-9.46,-10.85,-2.76,-0.52,1.35,-0.51
-7.95,-10.10,-1.89,-1.14,1.40,-0.55
-6.90,-8.08,-1.06,-1.67,1.38,-0.59
-5.54,-6.00,-0.20,-2.06,1.27,-0.64
-4.90,-3.95,0.56,-2.33,1.10,-0.71
-4.40,-2.64,1.13,-2.51,0.91,-0.83
-3.92,-1.60,1.66,-2.65,0.72,-0.92
-3.18,-0.76,2.21,-2.77,0.51,-0.98
-2.28,-0.03,2.73,-2.88,0.27,-1.00
-0.67,0.99,3.32,-2.98,-0.05,-1.03
0.74,2.45,3.90,-3.03,-0.51,-1.11
1.02,4.21,4.14,-3.04,-1.03,-1.02
0.15,6.51,4.04,-3.03,-1.57,-0.61
-2.69,10.02,3.52,-2.82,-1.93,-0.35
-4.77,11.98,2.77,-2.40,-2.02,-0.22
-4.81,12.66,2.04,-1.94,-2.02,-0.16
-3.47,13.47,2.03,-1.50,-2.16,-0.07
-3.82,15.13,2.15,-0.96,-2.47,-0.07
-5.98,15.54,1.95,-0.35,-2.70,-0.10
-8.17,14.85,1.58,0.23,-2.77,0.13
-8.79,14.35,1.58,0.66,-2.80,0.54
-8.95,15.30,2.44,1.19,-2.97,0.52
-11.33,14.82,2.87,1.87,-3.15,0.07
-14.61,12.78,2.60,2.50,-3.11,-0.31
-16.96,11.19,2.65,2.93,-2.87,-0.24
-19.06,10.09,3.05,3.33,-2.52,-0.06
-22.27,6.70,2.78,3.63,-2.02,0.13
-24.39,3.36,2.12,3.72,-1.31,0.14
-24.10,0.40,1.81,3.69,-0.48,-0.25
-22.44,-3.58,1.65,3.42,0.31,-0.44
-21.26,-6.00,1.43,2.86,0.97,-0.22
-20.27,-6.06,1.58,2.26,1.56,0.07
-18.50,-5.52,2.24,1.79,2.06,0.12
-16.43,-5.39,2.83,1.47,2.44,-0.13
-14.11,-6.59,3.28,1.14,2.68,-0.48
-12.04,-8.06,3.35,0.65,2.82,-0.74
-10.12,-8.53,3.48,0.02,2.85,-0.83
-9.17,-7.63,3.63,-0.61,2.81,-0.92
-8.53,-6.28,3.70,-1.18,2.75,-0.95
-7.56,-4.83,3.99,-1.65,2.73,-0.98
-5.56,-3.86,4.41,-2.01,2.65,-1.04
-3.31,-2.46,4.57,-2.31,2.39,-1.15
-1.80,-1.06,4.49,-2.48,2.01,-1.40
-0.65,-0.42,4.43,-2.57,1.53,-1.76
-0.01,-0.42,4.04,-2.71,1.00,-1.85
-0.35,0.15,3.85,-2.90,0.48,-1.72
-0.53,0.90,3.75,-3.05,0.04,-1.63
-0.20,1.26,3.78,-3.21,-0.42,-1.56
-0.24,2.66,3.94,-3.36,-0.93,-1.70
0.25,5.85,4.36,-3.37,-1.48,-1.92
-2.22,10.05,4.22,-3.13,-2.00,-2.17
-5.97,13.94,3.26,-2.74,-2.22,-1.68
-8.59,15.81,1.90,-2.23,-2.11,-0.89
-7.86,16.31,1.67,-1.61,-1.87,-0.53
-4.45,16.29,2.42,-0.96,-1.89,-0.35
-3.79,15.99,2.92,-0.29,-2.19,-0.28
-6.40,14.19,2.73,0.33,-2.40,-0.29
-8.86,13.32,2.30,0.81,-2.38,-0.04
-9.09,13.52,2.78,1.36,-2.23,-0.02
-9.27,12.11,3.90,1.84,-2.15,0.49
-9.87,10.56,4.07,2.21,-2.17,0.89
-10.55,9.58,4.38,2.61,-2.11,0.80
-10.97,8.31,4.92,2.97,-2.06,0.57
-11.98,7.80,5.64,3.27,-2.06,0.46
-15.89,6.55,5.97,3.60,-1.97,0.34
-21.17,4.07,5.20,3.73,-1.59,0.49
-25.01,1.96,4.42,3.79,-0.85,0.39
-25.20,-1.20,4.23,3.68,0.02,0.23
-22.94,-3.84,4.06,3.43,0.78,-0.20
