ax,ay,az,gx,gy,gz
-8.97,-13.64,-3.69,1.03,0.12,0.09
-9.43,-13.69,-3.77,0.62,0.22,-0.25
-9.16,-14.71,-3.73,0.19,0.33,-0.50
-8.52,-16.00,-3.67,-0.37,0.40,-0.69
-8.05,-15.37,-3.39,-1.01,0.43,-0.80
-7.89,-12.78,-2.88,-1.55,0.45,-0.90
-7.41,-10.69,-2.32,-1.94,0.45,-1.05
-6.91,-8.62,-1.81,-2.24,0.39,-1.11
-6.59,-7.14,-1.30,-2.45,0.28,-1.20
-6.89,-6.53,-0.93,-2.62,0.16,-1.38
-6.85,-6.60,-0.48,-2.87,0.05,-1.47
-6.10,-5.88,0.28,-3.20,-0.05,-1.39
-5.15,-3.98,1.30,-3.49,-0.18,-1.23
-3.84,-2.44,2.21,-3.70,-0.32,-1.12
-2.43,-0.05,2.98,-3.85,-0.57,-0.85
-2.75,3.08,3.61,-3.76,-0.88,-0.99
-4.05,5.66,3.03,-3.45,-1.14,-1.24
-4.48,7.30,2.33,-3.02,-1.32,-1.39
-4.86,7.96,1.60,-2.58,-1.46,-1.36
-5.13,8.27,0.91,-2.18,-1.57,-1.10
-5.12,8.63,0.63,-1.87,-1.72,-0.68
-5.94,10.67,0.50,-1.45,-1.88,-0.50
-6.26,12.02,0.54,-0.85,-2.04,-0.56
-7.53,11.77,0.22,-0.19,-2.13,-0.66
-8.09,10.14,0.37,0.34,-2.19,-0.41
-9.41,8.76,0.33,0.68,-2.27,0.08
-11.23,8.36,0.30,1.03,-2.30,0.09
-13.35,8.33,0.27,1.47,-2.18,-0.22
-14.20,7.41,0.54,1.92,-1.98,-0.43
-15.93,5.49,0.43,2.16,-1.79,-0.02
-17.44,4.63,0.13,2.29,-1.57,0.31
-19.33,4.85,-0.19,2.50,-1.31,0.17
-21.53,4.48,-0.43,2.81,-0.86,-0.17
-22.18,1.83,-0.77,3.00,-0.29,-0.07
-22.08,-0.39,-1.04,2.96,0.26,0.40
-21.61,-1.45,-0.89,2.93,0.80,0.48
-18.05,-3.11,-0.14,2.92,1.17,0.34
-16.53,-5.20,-0.45,2.80,1.23,0.41
-17.48,-6.76,-0.57,2.62,1.34,0.52
-19.28,-8.83,-0.31,2.40,1.74,0.25
-18.16,-10.88,0.74,2.08,2.23,-0.24
-15.62,-12.93,1.85,1.58,2.64,-0.69
-12.83,-13.27,2.37,0.94,2.91,-0.89
-9.64,-12.52,3.04,0.28,2.96,-0.68
-7.72,-11.13,3.18,-0.27,2.81,-0.55
-7.55,-9.07,2.78,-0.65,2.64,-0.92
-6.83,-6.96,2.68,-0.89,2.60,-1.41
-5.45,-5.69,2.59,-1.08,2.56,-1.56
-3.65,-4.69,2.46,-1.30,2.49,-1.33
-1.07,-3.46,2.31,-1.47,2.36,-0.87
1.80,-3.30,2.13,-1.57,2.06,-0.67
3.57,-3.71,1.39,-1.65,1.66,-0.84
4.11,-3.87,1.12,-1.79,1.20,-1.13
4.32,-3.73,1.01,-2.01,0.83,-1.29
5.61,-2.97,1.27,-2.35,0.39,-1.01
6.51,-1.84,1.97,-2.62,-0.16,-0.90
5.49,1.48,2.09,-2.80,-0.82,-0.82
2.93,5.82,2.01,-2.62,-1.35,-0.99
-0.23,9.35,1.35,-2.16,-1.62,-0.96
-1.17,10.45,0.84,-1.62,-1.72,-0.38
-1.05,10.01,0.60,-1.14,-1.87,0.19
-0.51,8.50,0.90,-0.71,-2.16,0.31
-1.64,6.78,0.86,-0.41,-2.59,0.22
-4.23,5.84,1.14,-0.16,-2.97,-0.02
-6.53,5.26,1.16,0.03,-3.27,-0.08
-9.92,4.37,0.92,0.16,-3.56,0.22
-15.28,3.46,-0.11,0.18,-3.76,0.70
-21.72,4.11,-1.77,0.29,-3.72,0.70
-30.68,4.36,-4.17,0.69,-3.34,0.11
-40.59,0.78,-7.28,1.09,-2.36,-0.41
-45.10,-5.52,-9.63,1.04,-0.81,-0.51
-40.73,-10.84,-9.90,0.48,0.91,-0.39
-30.22,-10.46,-7.21,-0.34,2.08,-0.13
-24.18,-5.03,-4.55,-0.78,2.63,-0.28
-20.34,-2.33,-2.54,-0.78,3.09,-0.76
-15.63,-2.51,-0.48,-0.80,3.45,-0.84
-11.26,-3.22,1.32,-0.93,3.72,-0.72
-5.95,-3.68,3.04,-1.11,3.86,-0.62
-0.57,-3.53,4.15,-1.28,3.72,-0.35
3.24,-3.00,4.43,-1.38,3.36,-0.43
6.59,-2.65,4.50,-1.44,2.80,-0.60
8.66,-2.92,4.12,-1.54,2.02,-0.68
8.66,-2.85,3.39,-1.68,1.16,-0.66
6.93,-2.62,2.77,-1.83,0.43,-0.70
5.51,-1.69,2.53,-1.93,-0.10,-0.90
4.32,0.15,2.40,-2.00,-0.58,-0.90
3.26,1.72,2.14,-2.01,-1.01,-0.77
1.76,4.00,1.88,-1.95,-1.42,-0.61
-0.74,6.67,1.46,-1.69,-1.77,-0.71
-4.51,9.08,0.53,-1.30,-1.97,-0.81
-7.98,12.16,-0.44,-0.78,-1.97,-0.83
-10.12,14.80,-0.74,-0.13,-1.84,-0.52
-12.47,16.92,-0.70,0.65,-1.67,-0.19
-12.89,16.99,-0.10,1.53,-1.49,-0.09
-12.43,15.31,-0.01,2.32,-1.40,-0.09
-13.32,14.14,1.14,2.95,-1.35,0.16
-14.55,11.88,1.81,3.42,-1.27,0.68
-15.13,10.29,2.70,3.77,-1.16,1.22
-16.40,8.71,3.50,4.12,-1.02,1.46
-17.09,6.20,4.31,4.37,-0.82,1.79
