ax,ay,az,gx,gy,gz
-7.00,-2.59,-4.38,0.02,0.11,0.23
-6.79,-2.80,-4.56,0.04,0.09,0.30
-6.57,-3.18,-4.68,0.03,0.06,0.30
-6.55,-3.50,-4.74,-0.03,0.01,0.29
-6.36,-3.29,-4.70,-0.08,-0.03,0.28
-6.37,-3.07,-4.57,-0.14,-0.11,0.33
-6.60,-2.55,-4.70,-0.15,-0.16,0.34
-7.17,-2.35,-4.61,-0.13,-0.19,0.30
-7.68,-2.25,-4.67,-0.09,-0.17,0.26
-7.81,-2.37,-4.66,-0.05,-0.12,0.20
-7.63,-2.57,-4.57,-0.03,-0.07,0.13
-7.42,-2.82,-4.58,-0.04,-0.05,0.09
-7.44,-2.69,-4.61,-0.06,-0.04,0.08
-7.21,-2.56,-4.56,-0.05,-0.03,0.05
-7.24,-2.63,-4.58,-0.06,-0.04,0.05
-7.29,-2.60,-4.55,-0.07,-0.04,0.05
-7.24,-2.66,-4.52,-0.07,-0.04,0.05
-7.31,-2.62,-4.56,-0.09,-0.04,0.06
-7.20,-2.48,-4.47,-0.09,-0.05,0.07
-7.16,-2.50,-4.46,-0.09,-0.07,0.09
-7.26,-2.45,-4.45,-0.08,-0.07,0.09
-7.28,-2.36,-4.47,-0.08,-0.09,0.13
-7.27,-2.29,-4.42,-0.07,-0.10,0.15
-7.26,-2.20,-4.38,-0.06,-0.11,0.17
-7.28,-2.20,-4.32,-0.04,-0.12,0.19
-7.56,-2.28,-4.39,-0.02,-0.11,0.16
-7.75,-2.43,-4.40,-0.02,-0.09,0.12
-7.73,-2.50,-4.37,-0.02,-0.06,0.09
-7.48,-2.51,-4.36,-0.04,-0.04,0.09
-7.51,-2.27,-4.31,-0.05,-0.04,0.10
-7.48,-2.17,-4.29,-0.03,-0.04,0.08
-7.58,-2.32,-4.30,-0.01,-0.03,0.07
-7.64,-2.44,-4.35,-0.01,-0.01,0.06
-7.64,-2.55,-4.30,-0.02,0.01,0.04
-7.50,-2.60,-4.31,-0.03,0.01,0.04
-7.48,-2.60,-4.34,-0.05,0.01,0.05
-7.47,-2.57,-4.29,-0.07,0.01,0.05
-7.51,-2.38,-4.29,-0.08,0.01,0.06
-7.44,-2.22,-4.21,-0.07,0.01,0.08
-7.11,-2.17,-4.13,-0.05,-0.01,0.08
-7.22,-2.02,-4.18,-0.03,-0.04,0.05
-7.75,-1.84,-4.25,0.00,-0.04,0.06
-7.91,-2.08,-4.28,0.04,-0.02,0.10
-7.72,-2.30,-4.31,0.04,0.01,0.12
-7.29,-2.55,-4.26,0.04,0.02,0.12
-6.88,-2.85,-4.25,0.01,-0.00,0.08
-7.29,-2.81,-4.37,-0.03,-0.04,0.05
-7.79,-2.71,-4.30,-0.07,-0.03,0.06
-7.95,-2.51,-4.27,-0.09,-0.01,0.10
-7.78,-2.39,-4.22,-0.09,0.02,0.12
-7.52,-2.29,-4.16,-0.09,0.03,0.14
-7.46,-2.08,-4.17,-0.08,0.03,0.14
-7.41,-2.07,-4.20,-0.05,0.02,0.14
-7.33,-2.16,-4.21,-0.04,0.01,0.13
-7.45,-2.24,-4.23,-0.03,-0.01,0.13
-7.62,-2.33,-4.20,-0.04,-0.01,0.14
-7.68,-2.21,-4.19,-0.04,-0.01,0.16
-7.58,-2.20,-4.17,-0.04,-0.00,0.19
-7.35,-2.32,-4.23,-0.05,-0.01,0.19
-7.34,-2.36,-4.16,-0.06,-0.02,0.16
-7.36,-2.29,-4.22,-0.08,-0.03,0.11
-7.37,-2.10,-4.20,-0.09,-0.05,0.10
-7.56,-1.96,-4.16,-0.09,-0.06,0.09
-7.81,-1.70,-4.09,-0.06,-0.05,0.11
-7.72,-1.65,-4.09,-0.02,-0.04,0.11
-7.58,-1.82,-4.08,0.02,-0.04,0.12
-7.64,-2.18,-4.15,0.03,-0.04,0.10
-7.82,-2.33,-4.23,0.02,-0.02,0.07
-7.93,-2.23,-4.23,-0.01,0.01,0.07
-7.86,-2.13,-4.15,-0.02,0.03,0.07
-7.53,-2.20,-4.16,-0.02,0.04,0.06
-7.43,-2.34,-4.15,-0.04,0.03,0.05
-7.56,-2.27,-4.17,-0.06,0.02,0.03
-7.63,-2.09,-4.12,-0.07,0.02,0.01
-7.70,-1.96,-4.08,-0.06,0.03,-0.00
-7.63,-2.03,-4.10,-0.05,0.04,-0.02
-7.57,-2.08,-4.11,-0.04,0.04,-0.03
-7.54,-2.15,-4.14,-0.04,0.04,-0.04
-7.68,-2.07,-4.12,-0.04,0.04,-0.05
-7.74,-2.08,-4.16,-0.03,0.05,-0.03
-7.59,-2.15,-4.17,-0.02,0.06,-0.02
-7.52,-2.33,-4.16,-0.02,0.05,0.02
-7.39,-2.33,-4.22,-0.03,0.04,0.03
-7.37,-2.28,-4.18,-0.04,0.02,0.03
-7.42,-2.36,-4.19,-0.04,0.01,0.03
-7.61,-2.36,-4.18,-0.06,0.01,0.03
-7.65,-2.24,-4.18,-0.07,0.02,0.03
-7.53,-2.19,-4.15,-0.06,0.02,0.02
-7.45,-2.09,-4.13,-0.05,0.02,0.01
-7.47,-2.12,-4.14,-0.04,0.01,-0.00
-7.67,-2.18,-4.20,-0.03,0.00,0.01
-7.91,-2.15,-4.21,-0.03,0.02,0.03
-7.71,-2.23,-4.18,-0.03,0.04,0.05
-7.44,-2.33,-4.17,-0.02,0.05,0.05
-7.34,-2.42,-4.17,-0.03,0.03,0.04
-7.50,-2.43,-4.21,-0.04,0.02,0.04
-7.53,-2.33,-4.21,-0.05,0.02,0.05
-7.59,-2.27,-4.19,-0.05,0.02,0.05
-7.49,-2.21,-4.18,-0.05,0.02,0.06
-7.64,-2.10,-4.22,-0.04,0.02,0.08
