ax,ay,az,gx,gy,gz
-4.56,-1.48,-5.66,-0.71,0.33,0.56
-5.04,-1.48,-6.36,-0.65,0.21,0.67
-5.75,-2.06,-6.47,-0.61,0.19,0.69
-4.88,-1.61,-6.12,-0.60,0.19,0.60
-4.01,-0.51,-6.05,-0.51,0.10,0.49
-4.38,-0.18,-6.27,-0.35,0.01,0.34
-4.43,-0.37,-6.48,-0.21,-0.07,0.22
-4.67,-0.61,-6.39,-0.11,-0.14,0.15
-5.34,-0.49,-6.49,-0.01,-0.18,0.06
-5.88,-0.74,-6.57,0.08,-0.16,-0.04
-6.02,-1.20,-6.68,0.13,-0.14,-0.06
-6.27,-1.63,-6.76,0.13,-0.11,-0.06
-6.25,-1.60,-6.75,0.11,-0.08,-0.09
-6.11,-1.56,-6.73,0.10,-0.07,-0.08
-6.13,-1.44,-6.65,0.09,-0.07,-0.06
-6.17,-1.39,-6.62,0.10,-0.06,-0.03
-6.11,-1.49,-6.55,0.11,-0.06,-0.01
-6.20,-1.51,-6.60,0.12,-0.05,-0.02
-6.26,-1.95,-6.65,0.12,-0.03,0.00
-6.12,-2.24,-6.57,0.08,-0.03,0.07
-5.85,-2.05,-6.41,0.05,-0.03,0.09
-5.86,-1.92,-6.51,0.05,-0.04,0.06
-6.14,-2.11,-6.64,0.05,-0.04,0.04
-6.38,-2.30,-6.64,0.04,-0.01,0.01
-6.39,-2.30,-6.55,0.01,0.02,-0.02
-6.35,-2.34,-6.54,-0.01,0.04,-0.00
-6.27,-2.48,-6.52,-0.06,0.04,0.06
-6.43,-2.29,-6.53,-0.09,0.06,0.05
-6.39,-2.02,-6.51,-0.10,0.09,0.02
-6.53,-1.87,-6.56,-0.09,0.11,0.02
-6.79,-2.20,-6.70,-0.09,0.16,0.00
-6.43,-2.54,-6.70,-0.14,0.20,0.04
-6.27,-2.48,-6.62,-0.19,0.20,0.09
-6.17,-2.04,-6.61,-0.22,0.22,0.08
-6.60,-2.07,-6.83,-0.22,0.25,0.03
-7.13,-2.44,-7.13,-0.25,0.33,0.01
-6.94,-2.61,-7.18,-0.31,0.42,0.04
-6.17,-2.63,-6.87,-0.40,0.46,0.11
-5.38,-2.15,-6.74,-0.46,0.44,0.18
-5.05,-1.54,-6.66,-0.46,0.39,0.17
-5.24,-1.27,-6.85,-0.41,0.37,0.10
-4.77,-1.26,-6.77,-0.39,0.35,0.10
-4.03,-0.91,-6.76,-0.36,0.27,0.14
-4.21,-0.72,-6.81,-0.31,0.17,0.17
-4.53,-0.72,-6.96,-0.25,0.12,0.12
-4.51,-0.62,-6.96,-0.20,0.09,0.08
-4.05,-0.79,-6.87,-0.15,0.01,0.08
-4.46,-0.83,-6.95,-0.12,-0.08,0.06
-5.31,-0.67,-7.15,-0.08,-0.10,-0.00
-5.38,-0.68,-7.15,-0.03,-0.09,-0.03
-5.45,-0.95,-7.11,-0.00,-0.11,0.02
-5.53,-1.03,-7.16,-0.00,-0.12,0.07
-5.79,-1.17,-7.20,0.00,-0.12,0.08
-5.73,-1.32,-7.16,-0.00,-0.09,0.06
-5.12,-1.41,-6.96,-0.02,-0.10,0.08
-5.18,-1.16,-6.93,-0.03,-0.15,0.09
-5.36,-0.76,-6.85,0.01,-0.17,0.05
-5.44,-0.50,-6.80,0.07,-0.18,0.02
-6.02,-0.62,-6.93,0.15,-0.17,-0.01
-6.54,-1.19,-7.22,0.19,-0.10,-0.04
-6.62,-2.00,-7.31,0.17,-0.03,-0.03
-6.25,-2.39,-7.18,0.09,0.01,0.03
-6.02,-2.19,-7.02,0.01,0.02,0.04
-5.92,-1.94,-6.92,-0.02,0.03,0.00
-6.16,-1.85,-6.99,-0.04,0.04,-0.02
-6.38,-1.85,-7.16,-0.07,0.08,0.02
-5.85,-1.82,-6.99,-0.10,0.11,0.08
-5.41,-1.57,-6.88,-0.12,0.09,0.11
-5.37,-1.22,-6.82,-0.10,0.07,0.07
-5.13,-1.09,-6.77,-0.06,0.06,0.04
-5.04,-1.18,-6.77,-0.03,0.02,0.05
-5.24,-1.31,-6.89,-0.01,-0.01,0.05
-5.45,-1.58,-7.01,0.00,-0.02,0.03
-5.88,-1.93,-7.16,-0.02,-0.01,0.01
-5.89,-1.91,-7.11,-0.06,0.01,0.03
-5.84,-1.67,-7.03,-0.09,0.02,0.05
-5.75,-1.38,-6.98,-0.09,0.02,0.06
-5.72,-1.30,-6.95,-0.07,0.03,0.05
