ax,ay,az,gx,gy,gz
-8.59,-0.79,-1.38,-0.11,-0.07,0.43
-8.83,-0.65,-1.41,-0.11,-0.07,0.41
-8.84,-0.52,-1.44,-0.09,-0.04,0.28
-8.76,-0.48,-1.40,-0.07,-0.01,0.16
-8.70,-0.49,-1.41,-0.06,0.01,0.10
-8.70,-0.50,-1.37,-0.06,0.02,0.05
-8.66,-0.56,-1.36,-0.05,0.02,0.06
-8.70,-0.53,-1.33,-0.06,0.01,0.07
-8.71,-0.55,-1.36,-0.05,0.02,0.03
-8.63,-0.59,-1.39,-0.04,0.03,0.00
-8.66,-0.57,-1.41,-0.05,0.02,0.04
-8.69,-0.50,-1.41,-0.05,0.02,0.04
-8.69,-0.54,-1.39,-0.05,0.02,0.04
-8.70,-0.56,-1.39,-0.05,0.02,0.03
-8.64,-0.59,-1.37,-0.05,0.02,0.04
-8.67,-0.59,-1.40,-0.05,0.02,0.03
-8.68,-0.57,-1.42,-0.05,0.02,0.03
-8.66,-0.57,-1.42,-0.05,0.02,0.04
-8.64,-0.56,-1.40,-0.05,0.01,0.05
-8.68,-0.57,-1.40,-0.05,0.01,0.05
-8.67,-0.57,-1.38,-0.05,0.01,0.05
-8.67,-0.60,-1.40,-0.05,0.01,0.04
-8.67,-0.60,-1.37,-0.05,0.02,0.05
-8.65,-0.58,-1.38,-0.05,0.01,0.05
-8.67,-0.57,-1.37,-0.05,0.01,0.06
-8.66,-0.56,-1.40,-0.05,0.01,0.06
-8.68,-0.55,-1.40,-0.05,0.01,0.06
-8.68,-0.57,-1.40,-0.05,0.01,0.06
-8.68,-0.57,-1.40,-0.05,0.01,0.05
-8.68,-0.57,-1.38,-0.05,0.01,0.05
-8.69,-0.57,-1.39,-0.05,0.01,0.04
-8.67,-0.58,-1.37,-0.05,0.01,0.05
-8.68,-0.58,-1.37,-0.05,0.01,0.05
-8.65,-0.58,-1.41,-0.05,0.01,0.05
-8.66,-0.57,-1.40,-0.05,0.01,0.05
-8.66,-0.56,-1.41,-0.05,0.01,0.06
-8.66,-0.56,-1.38,-0.05,0.01,0.05
-8.68,-0.56,-1.43,-0.05,0.01,0.05
-8.66,-0.58,-1.38,-0.05,0.02,0.04
-8.66,-0.57,-1.39,-0.05,0.01,0.05
-8.66,-0.56,-1.36,-0.05,0.01,0.06
-8.69,-0.55,-1.38,-0.05,0.01,0.06
-8.70,-0.56,-1.40,-0.05,0.01,0.05
-8.69,-0.57,-1.37,-0.05,0.01,0.05
-8.67,-0.58,-1.36,-0.05,0.02,0.04
-8.69,-0.58,-1.37,-0.05,0.02,0.04
-8.63,-0.57,-1.36,-0.05,0.02,0.04
-8.67,-0.56,-1.39,-0.05,0.01,0.05
-8.65,-0.55,-1.39,-0.05,0.01,0.05
-8.69,-0.57,-1.38,-0.05,0.01,0.05
-8.67,-0.57,-1.41,-0.05,0.01,0.05
-8.68,-0.57,-1.40,-0.05,0.01,0.05
-8.69,-0.59,-1.39,-0.05,0.01,0.05
-8.67,-0.58,-1.37,-0.05,0.01,0.05
-8.67,-0.56,-1.40,-0.05,0.01,0.05
-8.65,-0.59,-1.36,-0.05,0.01,0.06
-8.69,-0.57,-1.38,-0.05,0.01,0.05
-8.67,-0.57,-1.39,-0.05,0.01,0.05
-8.67,-0.56,-1.38,-0.05,0.02,0.04
-8.69,-0.58,-1.37,-0.05,0.02,0.04
-8.66,-0.57,-1.38,-0.05,0.01,0.05
-8.63,-0.57,-1.39,-0.05,0.01,0.05
-8.68,-0.57,-1.36,-0.05,0.01,0.05
-8.67,-0.56,-1.38,-0.05,0.02,0.05
-8.68,-0.57,-1.39,-0.05,0.01,0.05
-8.65,-0.57,-1.40,-0.05,0.01,0.05
-8.66,-0.55,-1.41,-0.05,0.02,0.05
-8.69,-0.58,-1.37,-0.05,0.01,0.05
-8.65,-0.60,-1.40,-0.05,0.02,0.04
-8.66,-0.57,-1.39,-0.05,0.01,0.05
-8.69,-0.55,-1.40,-0.05,0.01,0.05
-8.69,-0.57,-1.38,-0.05,0.01,0.05
-8.66,-0.57,-1.39,-0.05,0.02,0.04
-8.69,-0.57,-1.40,-0.05,0.02,0.05
-8.70,-0.58,-1.40,-0.05,0.01,0.05
-8.66,-0.57,-1.39,-0.05,0.01,0.05
-8.69,-0.57,-1.38,-0.05,0.02,0.04
-8.69,-0.57,-1.39,-0.05,0.02,0.04
-8.67,-0.57,-1.38,-0.05,0.02,0.05
-8.64,-0.56,-1.40,-0.05,0.01,0.05
-8.68,-0.57,-1.38,-0.05,0.01,0.05
-8.69,-0.58,-1.39,-0.05,0.02,0.04
-8.69,-0.58,-1.40,-0.05,0.02,0.04
-8.66,-0.57,-1.42,-0.05,0.02,0.05
-8.67,-0.57,-1.40,-0.05,0.01,0.05
-8.66,-0.57,-1.38,-0.05,0.02,0.04
-8.68,-0.57,-1.36,-0.05,0.02,0.05
-8.69,-0.56,-1.38,-0.05,0.02,0.05
-8.68,-0.57,-1.41,-0.05,0.02,0.05
-8.66,-0.60,-1.39,-0.05,0.02,0.05
-8.67,-0.60,-1.38,-0.05,0.02,0.04
-8.69,-0.60,-1.39,-0.05,0.02,0.04
-8.67,-0.60,-1.40,-0.05,0.02,0.04
-8.66,-0.60,-1.36,-0.05,0.01,0.05
-8.67,-0.58,-1.38,-0.05,0.01,0.05
-8.70,-0.55,-1.37,-0.05,0.01,0.05
-8.66,-0.56,-1.40,-0.05,0.01,0.04
-8.68,-0.57,-1.39,-0.05,0.01,0.05
-8.66,-0.59,-1.41,-0.05,0.01,0.05
-8.69,-0.60,-1.39,-0.05,0.02,0.04
