ax,ay,az,gx,gy,gz
-10.99,-14.52,5.65,-1.84,-6.97,-3.49
-18.64,-13.98,5.55,-2.30,-6.66,-4.09
-24.58,-11.51,4.66,-2.61,-5.90,-4.41
-26.51,-7.73,3.49,-2.74,-4.91,-4.03
-27.72,-5.26,1.81,-2.65,-3.83,-3.09
-27.78,-5.75,-0.40,-2.62,-2.56,-1.75
-24.82,-7.13,-1.13,-2.87,-1.26,0.02
-19.25,-7.47,-0.45,-3.21,-0.27,1.06
-15.45,-8.46,-0.18,-3.62,0.27,1.40
-14.28,-5.91,0.20,-4.01,0.63,1.00
-13.76,-2.83,0.55,-4.15,0.89,-0.02
-13.00,-0.59,0.33,-4.21,1.14,-0.79
-11.35,1.41,0.22,-4.49,1.29,-0.50
-8.21,7.88,0.43,-4.61,1.39,0.23
-6.84,15.91,-0.15,-4.06,1.30,0.26
-6.65,21.28,-1.93,-2.94,1.26,-0.07
-7.67,22.87,-4.02,-1.71,1.25,-0.17
-8.75,21.22,-5.06,-0.60,1.35,0.10
-9.90,18.03,-5.73,0.18,1.55,0.80
-10.20,16.80,-5.68,0.80,1.80,1.46
-10.80,15.59,-5.12,1.45,2.11,2.01
-10.46,12.59,-4.32,2.01,2.45,2.88
-9.58,8.74,-3.64,2.42,2.73,3.82
-8.55,5.26,-3.23,2.69,2.89,4.57
-8.19,2.71,-3.11,2.93,3.02,4.65
-6.30,-0.14,-2.69,3.09,3.14,4.24
-4.33,-2.59,-2.77,3.07,3.15,3.92
-2.60,-4.52,-2.94,2.91,3.09,3.70
-0.51,-5.97,-3.71,2.67,2.93,3.34
0.99,-6.20,-4.21,2.45,2.70,2.76
2.16,-7.28,-4.88,2.22,2.45,2.18
3.17,-9.46,-6.10,1.80,2.20,1.78
4.67,-9.25,-6.90,1.24,1.90,1.65
6.28,-6.87,-7.09,0.85,1.49,1.37
7.32,-5.40,-7.37,0.68,1.03,0.86
7.02,-4.80,-7.92,0.50,0.57,0.60
5.67,-3.61,-8.53,0.35,0.26,0.47
4.20,-2.08,-8.77,0.32,0.12,0.22
3.79,-2.11,-8.89,0.34,0.09,0.10
3.28,-2.52,-9.15,0.29,0.10,0.11
2.96,-2.89,-9.21,0.20,0.18,0.12
2.96,-2.38,-9.04,0.10,0.29,0.20
3.12,-1.71,-8.78,0.06,0.39,0.36
3.71,-1.40,-8.47,0.07,0.46,0.58
4.44,-1.63,-8.13,0.13,0.47,0.63
4.73,-2.62,-7.99,0.18,0.44,0.59
4.96,-3.78,-7.87,0.15,0.42,0.52
5.29,-4.65,-7.48,0.06,0.41,0.43
5.67,-5.26,-6.97,-0.10,0.42,0.41
6.38,-5.49,-6.39,-0.31,0.43,0.52
7.36,-5.76,-5.80,-0.53,0.37,0.65
8.18,-6.69,-5.17,-0.77,0.24,0.56
9.45,-8.25,-4.73,-1.10,0.01,0.35
11.03,-9.76,-4.23,-1.65,-0.38,0.33
11.98,-10.82,-3.75,-2.36,-0.94,0.30
12.90,-11.68,-3.09,-3.23,-1.66,0.21
14.31,-9.62,-1.06,-4.14,-2.69,-0.23
11.18,-2.90,1.50,-4.74,-4.06,-0.96
0.91,7.24,2.32,-4.58,-5.17,-2.40
-12.92,15.98,-0.14,-3.48,-5.38,-3.53
-18.75,16.84,-4.61,-2.00,-4.74,-4.34
-22.08,13.95,-8.77,-0.76,-3.64,-4.34
-20.27,8.77,-10.95,-0.20,-2.36,-3.10
-17.61,4.98,-11.40,-0.26,-1.23,-1.16
-14.54,3.14,-10.62,-0.53,-0.27,0.34
-9.27,3.05,-9.20,-0.75,0.32,0.97
-5.11,4.72,-8.13,-0.70,0.49,0.53
-3.08,6.26,-7.76,-0.51,0.41,0.11
-2.51,6.92,-7.74,-0.26,0.29,-0.03
-2.75,6.17,-7.96,-0.04,0.21,0.01
-2.92,4.98,-8.13,0.09,0.19,0.04
-3.03,4.30,-8.18,0.14,0.20,0.06
-2.84,3.67,-8.18,0.16,0.22,0.07
-2.77,3.34,-8.28,0.13,0.23,0.14
-2.79,3.14,-8.32,0.09,0.27,0.24
-2.72,3.30,-8.40,0.03,0.30,0.40
-2.57,3.99,-8.45,0.01,0.32,0.56
-1.97,4.27,-8.49,0.07,0.31,0.55
-1.71,4.89,-8.68,0.16,0.26,0.35
-1.69,5.79,-8.72,0.30,0.19,0.18
-1.97,6.71,-8.62,0.49,0.16,0.16
-1.89,7.16,-8.43,0.73,0.13,0.22
-1.59,6.87,-8.11,1.00,0.09,0.26
-1.18,5.95,-7.68,1.28,-0.00,0.15
-1.17,3.90,-7.69,1.48,-0.12,-0.05
-1.68,2.36,-8.00,1.52,-0.20,-0.14
-2.53,2.70,-8.17,1.54,-0.24,-0.23
-2.35,2.93,-7.96,1.61,-0.24,-0.29
-2.15,2.77,-7.78,1.72,-0.28,-0.22
-2.42,1.12,-7.92,1.78,-0.32,-0.16
-2.94,-0.05,-8.09,1.75,-0.36,-0.18
-3.43,-1.03,-8.24,1.69,-0.36,-0.30
-3.78,-1.90,-8.36,1.57,-0.32,-0.35
-3.93,-2.73,-8.38,1.38,-0.26,-0.23
-4.05,-3.32,-8.32,1.15,-0.18,-0.08
-3.95,-3.99,-8.35,0.91,-0.12,0.08
-4.46,-4.31,-8.54,0.64,-0.05,0.16
-4.75,-3.69,-8.59,0.42,0.06,0.15
-4.61,-2.26,-8.50,0.28,0.17,0.19
-4.12,-1.22,-8.40,0.30,0.25,0.16
