ax,ay,az,gx,gy,gz
-7.80,-0.27,-3.54,-0.06,0.05,0.20
-7.47,-0.81,-3.42,0.06,0.07,0.06
-7.49,-1.68,-3.62,0.09,0.05,0.18
-8.00,-2.29,-3.86,0.04,0.06,0.21
-7.72,-1.95,-3.85,-0.03,0.13,0.20
-6.40,-1.06,-3.60,-0.05,0.14,0.19
-5.72,-0.47,-3.65,0.01,0.05,0.17
-6.08,-0.40,-3.68,0.12,-0.06,0.10
-6.72,-0.61,-3.71,0.24,-0.14,-0.09
-7.32,-1.76,-3.67,0.33,-0.18,-0.26
-7.97,-3.13,-3.67,0.27,-0.21,-0.28
-8.81,-3.59,-3.94,0.11,-0.15,-0.25
-8.73,-2.95,-3.90,-0.03,-0.04,-0.19
-7.85,-2.32,-3.70,-0.11,0.03,-0.07
-7.07,-1.67,-3.39,-0.14,-0.01,0.08
-7.81,-1.52,-3.57,-0.09,-0.07,0.15
-8.60,-2.04,-3.96,-0.07,-0.03,0.19
-8.57,-2.46,-4.03,-0.11,0.07,0.23
-8.21,-2.33,-3.95,-0.19,0.16,0.33
-7.06,-1.86,-3.63,-0.25,0.17,0.43
-6.51,-1.14,-3.41,-0.22,0.04,0.44
-7.54,-1.29,-3.79,-0.15,-0.06,0.34
-8.42,-1.50,-3.97,-0.10,-0.04,0.14
-8.31,-1.64,-4.01,-0.09,0.03,0.03
-7.93,-1.72,-3.95,-0.12,0.09,0.06
-7.70,-1.62,-3.89,-0.18,0.11,0.24
-7.33,-1.28,-3.80,-0.23,0.10,0.48
-7.30,-0.82,-3.74,-0.21,0.05,0.53
-7.42,-0.67,-3.74,-0.12,-0.01,0.37
-7.69,-1.04,-3.86,-0.05,-0.04,0.17
-8.26,-1.36,-3.90,-0.04,-0.02,0.07
-8.61,-1.73,-4.04,-0.10,0.07,0.13
-8.09,-1.62,-3.78,-0.18,0.14,0.31
-7.41,-1.32,-3.72,-0.25,0.14,0.49
-7.13,-0.93,-3.70,-0.26,0.08,0.51
-7.30,-0.65,-3.73,-0.21,0.02,0.33
-7.44,-0.59,-3.78,-0.14,-0.02,0.14
-7.57,-0.75,-3.78,-0.11,-0.04,0.05
-7.67,-0.85,-3.75,-0.11,-0.05,0.12
-7.71,-0.93,-3.77,-0.13,-0.07,0.26
-8.05,-0.93,-3.88,-0.13,-0.08,0.26
-7.99,-0.89,-3.91,-0.14,-0.05,0.24
-7.56,-0.77,-3.75,-0.15,-0.04,0.24
-7.21,-0.55,-3.66,-0.15,-0.09,0.24
-7.64,-0.52,-3.75,-0.11,-0.15,0.13
-8.21,-0.69,-3.85,-0.09,-0.14,0.04
-7.91,-0.50,-3.73,-0.10,-0.11,0.06
-7.89,-0.28,-3.68,-0.08,-0.10,0.14
-8.13,-0.66,-3.66,-0.08,-0.09,0.26
-8.18,-0.90,-3.68,-0.10,-0.06,0.26
-7.95,-0.85,-3.64,-0.13,-0.04,0.19
-7.30,-0.79,-3.55,-0.16,-0.06,0.13
-6.66,-0.26,-3.39,-0.16,-0.14,0.08
-7.13,0.30,-3.41,-0.11,-0.25,0.02
-7.80,0.43,-3.38,-0.04,-0.30,0.05
-8.50,-0.01,-3.48,0.04,-0.30,0.00
-8.82,-0.46,-3.48,0.06,-0.23,-0.04
-8.44,-0.92,-3.41,0.02,-0.15,-0.02
-7.83,-0.85,-3.23,-0.05,-0.14,0.09
-7.21,-0.40,-3.13,-0.08,-0.20,0.12
-7.61,-0.06,-3.09,-0.02,-0.30,0.03
-8.62,-0.31,-3.19,0.04,-0.33,-0.12
-8.99,-0.84,-3.21,0.05,-0.28,-0.14
-8.30,-1.18,-3.04,-0.03,-0.26,0.09
-8.68,-1.16,-3.11,-0.10,-0.29,0.21
-9.41,-0.73,-3.17,-0.13,-0.25,0.15
-9.22,-0.66,-3.15,-0.11,-0.15,-0.01
-8.21,-0.58,-2.98,-0.12,-0.10,-0.01
-7.54,-0.25,-2.82,-0.14,-0.14,0.13
-8.13,-0.10,-2.84,-0.10,-0.20,0.18
-8.67,-0.54,-2.90,-0.07,-0.20,0.13
-8.85,-0.64,-2.89,-0.08,-0.17,0.10
-8.65,-0.75,-2.87,-0.10,-0.13,0.08
-8.04,-0.51,-2.70,-0.13,-0.13,0.13
-8.16,-0.15,-2.70,-0.12,-0.18,0.12
-8.49,-0.27,-2.75,-0.07,-0.19,0.01
-8.62,-0.41,-2.71,-0.05,-0.19,-0.02
-8.89,-0.57,-2.65,-0.05,-0.18,-0.02
-8.94,-0.61,-2.69,-0.05,-0.12,-0.10
-8.54,-0.76,-2.58,-0.08,-0.08,-0.06
-7.86,-0.60,-2.43,-0.12,-0.07,0.07
-7.92,-0.28,-2.40,-0.13,-0.11,0.13
-8.14,-0.20,-2.45,-0.10,-0.13,0.07
-8.15,-0.23,-2.40,-0.06,-0.12,0.00
-8.14,-0.17,-2.32,-0.04,-0.12,0.02
-7.93,-0.23,-2.27,-0.02,-0.12,0.06
-7.51,-0.17,-2.20,0.00,-0.17,0.08
-7.54,-0.19,-2.17,0.05,-0.26,0.05
-8.09,-0.43,-2.19,0.09,-0.32,-0.07
-8.76,-0.66,-2.10,0.10,-0.32,-0.09
-8.66,-0.89,-2.06,0.05,-0.28,0.04
-8.35,-0.90,-1.93,-0.01,-0.26,0.23
-8.26,-0.58,-1.78,-0.06,-0.24,0.32
-8.11,-0.33,-1.71,-0.08,-0.23,0.38
-7.83,-0.06,-1.57,-0.07,-0.26,0.40
-7.71,-0.04,-1.61,-0.02,-0.32,0.26
-8.04,-0.09,-1.51,-0.00,-0.39,0.20
-8.65,0.30,-1.52,0.03,-0.42,0.22
-9.08,0.09,-1.47,0.07,-0.44,0.22
-9.78,0.09,-1.46,0.11,-0.47,0.22
