ax,ay,az,gx,gy,gz
-9.26,-5.51,-6.12,0.20,0.23,-0.07
-7.24,-4.13,-5.19,-0.14,0.32,0.45
-5.88,-2.00,-4.93,-0.25,0.26,0.77
-5.98,-1.38,-5.21,-0.18,0.17,0.76
-6.17,-1.86,-5.40,-0.09,0.14,0.54
-6.67,-2.11,-5.65,-0.09,0.12,0.36
-6.86,-2.08,-5.56,-0.15,0.10,0.50
-6.61,-1.96,-5.64,-0.19,0.11,0.50
-6.00,-1.69,-5.49,-0.18,0.09,0.33
-5.78,-1.20,-5.30,-0.16,0.01,0.26
-6.35,-0.95,-5.37,-0.16,-0.08,0.36
-6.89,-1.12,-5.50,-0.18,-0.11,0.53
-7.01,-1.13,-5.57,-0.19,-0.08,0.47
-6.61,-0.97,-5.39,-0.15,-0.05,0.27
-6.14,-0.69,-5.16,-0.11,-0.07,0.10
-6.38,-0.32,-5.16,-0.04,-0.10,-0.11
-7.12,-0.35,-5.34,0.03,-0.09,-0.22
-7.25,-0.51,-5.29,0.04,-0.06,-0.07
-6.71,-0.64,-5.09,0.03,-0.08,0.20
-6.80,-0.85,-5.22,0.05,-0.10,0.23
-7.42,-1.57,-5.47,0.07,-0.06,0.10
-7.43,-1.87,-5.55,0.04,0.01,-0.03
-6.96,-1.72,-5.37,-0.02,0.04,0.00
-6.95,-1.51,-5.35,-0.07,-0.00,0.11
-7.90,-1.45,-5.63,-0.10,0.01,0.17
-7.92,-1.30,-5.65,-0.12,0.10,0.19
-7.15,-1.10,-5.42,-0.11,0.14,0.18
-6.82,-1.10,-5.34,-0.09,0.13,0.15
-6.70,-1.20,-5.36,-0.08,0.12,0.09
-6.88,-1.16,-5.43,-0.09,0.11,0.06
-6.79,-0.86,-5.32,-0.10,0.11,0.10
-6.85,-0.77,-5.38,-0.07,0.11,0.08
-7.02,-1.09,-5.43,-0.04,0.14,-0.02
-6.53,-1.06,-5.38,-0.06,0.16,0.01
-6.01,-0.98,-5.22,-0.11,0.10,0.21
-6.13,-1.02,-5.32,-0.14,0.04,0.33
-6.27,-1.06,-5.33,-0.15,0.03,0.30
-5.87,-0.97,-5.28,-0.14,0.02,0.18
-5.70,-1.05,-5.26,-0.13,-0.01,0.04
-5.74,-0.94,-5.18,-0.16,-0.07,0.00
-6.12,-0.68,-5.13,-0.21,-0.15,0.24
-6.21,-0.08,-5.09,-0.23,-0.19,0.46
-6.10,0.03,-5.17,-0.15,-0.22,0.41
-6.33,-0.55,-5.28,-0.06,-0.22,0.15
-6.36,-1.02,-5.20,-0.03,-0.21,-0.11
