ax,ay,az,gx,gy,gz
-4.40,0.10,-4.96,-0.10,0.42,0.70
-4.40,-0.46,-5.24,0.01,0.28,0.15
-4.89,-1.37,-5.04,0.01,0.14,-0.21
-5.28,-1.48,-4.50,-0.11,0.00,-0.15
-5.48,-0.94,-4.47,-0.22,-0.13,0.11
-5.79,-0.57,-4.43,-0.28,-0.23,0.27
-6.16,-0.62,-4.42,-0.29,-0.26,0.24
-6.60,-0.74,-4.46,-0.30,-0.27,0.13
-7.09,-0.53,-4.48,-0.34,-0.24,0.11
-6.73,0.03,-4.27,-0.35,-0.21,0.13
-6.30,0.22,-4.19,-0.32,-0.26,0.11
-6.66,0.09,-4.26,-0.32,-0.32,0.13
-7.30,0.34,-4.35,-0.30,-0.34,0.09
-7.86,0.41,-4.42,-0.26,-0.29,0.00
-7.75,0.51,-4.38,-0.21,-0.22,-0.14
-7.56,0.51,-4.39,-0.16,-0.21,-0.21
-7.40,0.67,-4.34,-0.14,-0.23,-0.19
-7.34,0.71,-4.31,-0.11,-0.28,-0.05
-8.03,0.37,-4.42,-0.07,-0.28,-0.03
-9.49,0.22,-4.55,-0.02,-0.14,-0.24
-9.78,0.69,-4.51,0.05,0.10,-0.44
-8.06,0.71,-4.37,0.11,0.21,-0.31
-6.58,0.12,-4.30,0.11,0.12,-0.01
-6.07,-0.20,-4.20,0.08,-0.04,0.14
-6.76,-0.27,-4.34,0.06,-0.17,0.14
-7.61,-0.54,-4.38,0.06,-0.19,0.03
-8.15,-0.42,-4.52,0.06,-0.15,-0.07
-8.53,-0.40,-4.54,0.06,-0.12,-0.07
-8.52,-0.44,-4.51,0.03,-0.07,0.07
-8.04,-0.30,-4.46,0.02,-0.03,0.14
-7.56,-0.20,-4.33,0.04,-0.01,0.07
-7.64,0.03,-4.32,0.09,-0.02,-0.07
-8.05,-0.15,-4.40,0.13,-0.01,-0.04
-8.03,-0.68,-4.41,0.12,0.00,0.03
-7.91,-0.94,-4.39,0.08,0.02,0.08
-8.01,-0.95,-4.36,0.03,0.04,0.13
-7.45,-0.69,-4.19,0.00,0.07,0.10
-6.40,-0.50,-4.00,0.02,0.03,0.00
-6.63,-0.62,-4.06,0.03,-0.08,-0.05
-7.47,-0.89,-4.19,0.01,-0.15,-0.02
-7.88,-1.01,-4.24,-0.04,-0.18,0.05
-7.92,-0.83,-4.23,-0.08,-0.18,0.09
-7.71,-0.56,-4.15,-0.09,-0.19,0.07
-8.15,-0.54,-4.16,-0.10,-0.19,0.07
-7.97,-0.41,-4.13,-0.10,-0.16,0.07
-7.90,-0.29,-4.17,-0.08,-0.18,0.04
-8.50,-0.30,-4.20,-0.07,-0.16,0.05
-8.34,-0.27,-4.06,-0.06,-0.12,0.04
-8.21,-0.24,-3.99,-0.04,-0.08,0.06
-7.83,-0.37,-3.88,-0.03,-0.05,0.06
-7.49,-0.39,-3.91,-0.01,-0.07,0.03
-7.83,-0.70,-4.09,-0.03,-0.09,0.01
-8.11,-0.73,-4.12,-0.07,-0.09,0.03
-8.26,-0.42,-4.06,-0.10,-0.07,0.07
-8.34,-0.03,-4.01,-0.10,-0.03,0.15
-8.06,0.20,-4.01,-0.05,0.00,0.12
-8.21,0.13,-4.03,0.01,0.01,0.06
-8.27,-0.03,-4.00,0.06,0.04,0.05
-8.09,-0.30,-3.87,0.07,0.07,0.08
-7.42,-0.39,-3.70,0.08,0.11,0.09
-6.42,-0.64,-3.66,0.09,0.06,0.02
-7.14,-1.07,-3.91,0.04,-0.06,-0.01
-8.42,-0.95,-4.08,-0.04,-0.10,0.07
-8.83,-0.65,-3.93,-0.09,-0.06,0.14
-8.44,-0.35,-3.81,-0.09,0.00,0.09
-8.38,-0.95,-3.92,-0.09,0.02,0.01
-7.84,-1.20,-3.93,-0.15,0.02,-0.04
-7.29,-0.81,-3.82,-0.23,-0.08,0.00
-8.42,-0.25,-3.90,-0.25,-0.15,0.08
-8.88,0.21,-3.81,-0.22,-0.10,0.13
-8.46,0.14,-3.67,-0.14,-0.03,0.07
-7.93,-0.07,-3.57,-0.09,0.01,0.00
-7.22,-0.28,-3.41,-0.06,-0.00,-0.01
-6.72,-0.25,-3.49,-0.05,-0.08,-0.03
-7.30,-0.20,-3.48,-0.03,-0.18,-0.06
-8.32,-0.31,-3.62,-0.03,-0.21,-0.02
-8.73,-0.46,-3.64,-0.03,-0.18,0.03
-8.77,-0.45,-3.58,-0.03,-0.13,0.02
-8.36,-0.26,-3.49,0.00,-0.07,-0.04
-7.97,-0.43,-3.62,0.04,-0.07,-0.12
-8.88,-1.01,-3.85,0.04,-0.08,-0.19
-9.34,-1.39,-3.86,-0.02,-0.02,-0.15
-8.38,-0.99,-3.63,-0.09,0.04,-0.09
-7.50,-0.59,-3.46,-0.10,0.04,-0.06
-6.81,-0.50,-3.65,-0.08,-0.03,-0.07
-8.05,-0.67,-3.96,-0.11,-0.11,0.04
-8.96,-0.35,-3.96,-0.12,-0.04,0.10
-8.37,-0.21,-3.70,-0.07,0.06,0.07
-7.46,-0.18,-3.50,-0.00,0.09,0.00
-6.82,-0.39,-3.59,0.07,0.04,-0.06
-7.03,-1.19,-3.77,0.07,-0.07,-0.06
-7.81,-1.54,-3.78,-0.01,-0.16,0.00
-7.98,-1.48,-3.56,-0.09,-0.19,0.07
-7.31,-1.17,-3.55,-0.15,-0.27,0.06
-8.03,-1.35,-3.58,-0.23,-0.41,0.18
-9.76,-0.93,-3.37,-0.30,-0.42,0.25
-10.82,0.91,-3.11,-0.22,-0.20,0.03
-9.40,2.25,-2.70,0.00,0.02,0.03
-7.78,1.90,-2.43,0.27,0.09,0.05
-6.96,0.21,-2.37,0.47,0.08,-0.05
