ax,ay,az,gx,gy,gz
-7.23,0.50,-4.65,-0.05,0.19,-0.03
-7.60,1.21,-5.04,-0.02,0.19,0.07
-8.04,1.16,-5.49,0.01,0.22,0.42
-7.29,0.37,-5.70,0.01,0.27,0.70
-6.02,-0.40,-5.77,-0.05,0.28,0.78
-5.06,-0.50,-5.82,-0.11,0.22,0.57
-4.75,-0.07,-5.64,-0.16,0.10,0.37
-4.88,0.53,-5.55,-0.18,-0.02,0.25
-4.88,0.80,-5.44,-0.17,-0.14,0.24
-5.42,0.78,-5.51,-0.15,-0.26,0.15
-6.25,0.45,-5.37,-0.17,-0.33,0.21
-7.20,0.54,-5.44,-0.20,-0.31,0.15
-7.53,0.89,-5.44,-0.20,-0.22,0.10
-7.13,0.96,-5.28,-0.19,-0.13,0.09
-6.31,1.00,-5.08,-0.17,-0.08,0.04
-5.54,0.93,-4.94,-0.15,-0.13,-0.07
-5.60,1.07,-5.04,-0.16,-0.30,-0.08
-7.42,1.05,-5.37,-0.21,-0.42,0.10
-8.64,1.29,-5.47,-0.27,-0.37,0.35
-8.07,1.58,-5.30,-0.24,-0.24,0.33
-7.36,1.50,-5.14,-0.17,-0.17,0.11
-7.35,1.78,-5.20,-0.10,-0.18,-0.15
-8.01,2.25,-5.32,-0.01,-0.17,-0.27
-8.28,2.22,-5.36,0.08,-0.11,-0.18
-7.88,1.46,-5.34,0.13,-0.04,-0.05
-7.37,0.63,-5.21,0.14,0.03,-0.05
-6.64,0.56,-5.07,0.13,0.05,-0.21
-6.41,0.82,-5.01,0.14,0.02,-0.37
-6.87,0.94,-5.04,0.16,-0.03,-0.42
-7.43,0.69,-5.11,0.13,-0.05,-0.22
-7.29,0.37,-5.09,0.08,-0.03,0.02
-7.18,0.40,-4.99,0.04,-0.00,0.09
-7.16,0.27,-4.92,0.04,0.06,0.01
-6.28,0.29,-4.83,0.05,0.09,-0.13
-5.58,0.22,-4.75,0.04,-0.03,-0.26
-6.58,0.32,-4.93,0.00,-0.15,-0.22
-7.35,0.38,-5.04,-0.04,-0.20,-0.08
-7.62,0.13,-5.02,-0.10,-0.20,0.12
-7.25,-0.04,-4.91,-0.16,-0.18,0.22
-6.95,0.02,-4.91,-0.20,-0.18,0.16
-7.03,0.37,-4.82,-0.21,-0.20,0.06
-7.17,0.86,-4.82,-0.19,-0.22,-0.01
-7.69,0.90,-4.82,-0.15,-0.23,0.01
-8.18,0.74,-4.85,-0.12,-0.16,0.02
-7.63,0.62,-4.85,-0.09,-0.10,-0.05
-7.31,0.54,-4.86,-0.09,-0.11,-0.09
-7.35,0.63,-4.82,-0.09,-0.15,-0.06
-7.98,0.52,-4.81,-0.09,-0.14,-0.04
-7.99,0.51,-4.75,-0.09,-0.08,-0.03
-7.59,0.44,-4.72,-0.08,-0.04,-0.05
-7.30,0.53,-4.64,-0.08,-0.03,-0.07
-7.02,0.60,-4.56,-0.06,-0.05,-0.10
-7.43,0.76,-4.53,-0.03,-0.07,-0.15
-7.52,0.71,-4.55,0.01,-0.05,-0.15
-7.45,0.42,-4.61,0.02,-0.07,-0.09
-7.75,0.38,-4.67,0.01,-0.07,-0.03
-7.73,0.39,-4.66,0.01,-0.06,-0.05
-7.61,0.44,-4.68,0.04,-0.05,-0.10
-7.85,0.12,-4.79,0.03,-0.07,-0.05
-7.99,-0.19,-4.83,-0.01,-0.05,0.04
-7.55,-0.39,-4.64,-0.07,-0.03,0.10
-6.80,-0.17,-4.47,-0.11,-0.04,0.07
-6.83,-0.01,-4.46,-0.12,-0.11,0.01
-7.67,0.22,-4.53,-0.13,-0.15,-0.01
-8.28,0.41,-4.58,-0.11,-0.12,-0.00
-8.32,0.24,-4.53,-0.09,-0.05,-0.01
-8.04,-0.11,-4.43,-0.11,0.00,0.04
-7.20,-0.13,-4.30,-0.15,0.03,0.06
-6.63,0.00,-4.25,-0.17,-0.01,0.01
-6.78,0.33,-4.33,-0.16,-0.09,-0.07
-7.80,0.66,-4.38,-0.14,-0.14,-0.07
-8.94,0.78,-4.41,-0.09,-0.08,-0.07
-8.75,0.62,-4.40,-0.04,0.01,-0.10
-8.56,0.51,-4.47,0.00,0.05,-0.06
-7.80,0.09,-4.42,0.02,0.08,-0.02
-7.31,0.18,-4.33,0.02,0.04,0.01
-7.59,0.08,-4.37,0.03,0.01,-0.03
-8.01,-0.18,-4.39,0.02,0.01,-0.07
-8.02,-0.02,-4.32,-0.00,0.05,-0.09
-7.63,0.05,-4.19,-0.01,0.08,-0.10
-6.90,0.21,-4.13,-0.00,0.08,-0.12
-6.92,0.25,-4.20,0.01,0.02,-0.12
-7.13,0.09,-4.21,0.03,-0.03,-0.12
-7.13,-0.17,-4.31,0.02,-0.06,-0.13
-6.57,-0.20,-4.36,0.01,-0.14,-0.16
-7.31,-0.20,-4.39,-0.03,-0.26,-0.08
-8.20,-0.23,-4.25,-0.06,-0.27,0.02
-8.71,-0.60,-4.12,-0.07,-0.19,0.03
-7.94,-0.82,-4.07,-0.09,-0.08,-0.05
-6.98,-0.73,-3.91,-0.13,-0.07,-0.08
-6.58,-0.35,-3.79,-0.15,-0.13,-0.09
-6.90,-0.05,-3.80,-0.14,-0.22,-0.06
-7.70,0.19,-3.83,-0.11,-0.25,-0.02
-8.08,0.04,-3.80,-0.06,-0.22,-0.06
-7.62,-0.21,-3.76,-0.02,-0.20,-0.14
-7.13,-0.22,-3.71,-0.00,-0.24,-0.18
-7.29,-0.21,-3.60,0.01,-0.33,-0.18
-8.36,-0.20,-3.68,0.03,-0.38,-0.10
-9.00,-0.50,-3.57,0.05,-0.34,-0.07
-8.87,-0.87,-3.63,0.04,-0.26,-0.12
