ax,ay,az,gx,gy,gz
-7.14,-1.06,-4.55,-0.06,0.07,0.10
-6.62,-1.11,-4.50,-0.05,0.08,0.06
-6.23,-1.32,-4.39,-0.05,0.06,0.02
-6.25,-1.36,-4.30,-0.08,0.02,0.02
-6.52,-1.32,-4.28,-0.10,-0.01,0.06
-6.38,-1.04,-4.14,-0.12,-0.03,0.11
-6.39,-0.89,-4.14,-0.11,-0.08,0.08
-6.87,-1.02,-4.24,-0.11,-0.11,0.06
-7.24,-0.92,-4.27,-0.12,-0.11,0.08
-6.77,-0.78,-4.15,-0.11,-0.12,0.09
-7.11,-0.62,-4.23,-0.09,-0.17,0.07
-7.75,-0.57,-4.28,-0.06,-0.16,0.08
-7.97,-0.94,-4.43,-0.04,-0.09,0.11
-7.49,-1.38,-4.32,-0.06,-0.03,0.11
-6.73,-1.44,-4.21,-0.10,-0.02,0.09
-6.20,-1.06,-4.01,-0.13,-0.11,0.05
-7.07,-0.55,-4.02,-0.13,-0.22,0.06
-8.27,-0.30,-4.30,-0.09,-0.22,0.11
-8.45,-0.67,-4.27,-0.04,-0.13,0.12
-8.19,-1.11,-4.30,-0.03,-0.05,0.08
-7.54,-1.09,-4.16,-0.04,0.00,0.08
-6.81,-1.03,-3.98,-0.05,-0.02,0.08
-6.68,-0.94,-3.97,-0.05,-0.11,0.06
-7.35,-0.73,-3.95,-0.04,-0.19,0.05
-8.08,-0.63,-4.12,-0.02,-0.22,0.04
-8.83,-0.80,-4.34,0.00,-0.14,0.07
-8.19,-1.17,-4.17,0.01,-0.02,0.07
-7.53,-1.54,-4.02,-0.01,0.01,-0.01
-7.43,-1.49,-4.01,-0.07,-0.01,0.02
-7.37,-1.10,-3.95,-0.10,-0.05,0.05
-8.03,-0.93,-4.04,-0.11,-0.07,0.11
-8.12,-0.93,-4.07,-0.11,-0.01,0.14
-7.52,-0.87,-3.92,-0.10,0.02,0.13
-7.27,-0.86,-3.85,-0.08,-0.01,0.03
-7.39,-0.80,-3.89,-0.08,-0.06,0.01
-7.91,-1.02,-4.07,-0.08,-0.11,0.04
-8.39,-1.08,-4.19,-0.12,-0.08,0.12
-8.17,-0.86,-4.05,-0.14,-0.04,0.21
-7.88,-0.49,-3.89,-0.13,-0.04,0.23
-7.47,-0.43,-3.82,-0.08,-0.06,0.15
-7.62,-0.37,-3.91,-0.04,-0.10,0.08
-8.42,-0.42,-3.98,0.01,-0.11,0.05
-8.93,-0.78,-4.08,0.04,-0.04,0.03
-8.82,-0.99,-4.09,0.03,0.06,0.04
-7.89,-1.10,-3.90,0.03,0.13,0.03
-6.71,-1.20,-3.77,0.02,0.10,-0.01
-6.13,-1.25,-3.78,0.01,-0.02,-0.11
-7.30,-1.15,-3.90,-0.02,-0.13,-0.13
-8.74,-1.02,-4.06,-0.05,-0.13,0.03
-8.25,-1.20,-3.96,-0.07,-0.05,0.09
-6.99,-1.26,-3.83,-0.06,-0.08,-0.09
-7.99,-1.22,-3.97,-0.08,-0.18,-0.12
-9.06,-1.00,-4.13,-0.12,-0.16,0.03
-8.90,-0.86,-4.08,-0.14,-0.09,0.18
-8.31,-0.59,-3.97,-0.11,-0.01,0.13
-8.05,-0.65,-4.00,-0.07,0.04,0.06
-7.80,-0.77,-3.99,-0.05,0.07,0.05
-7.57,-0.68,-3.94,-0.02,0.08,-0.02
-7.46,-0.61,-3.84,0.01,0.08,-0.07
-7.47,-0.86,-3.84,0.05,0.05,-0.12
-7.65,-1.23,-3.89,0.02,0.02,-0.04
-7.73,-1.23,-3.87,-0.01,0.00,0.02
-7.50,-1.04,-3.71,-0.03,0.01,0.07
-6.89,-0.87,-3.48,-0.00,-0.01,0.00
-6.84,-1.15,-3.55,0.04,-0.10,-0.14
-7.94,-1.42,-3.73,0.01,-0.18,-0.10
-8.66,-1.30,-3.79,-0.03,-0.19,0.05
-8.79,-1.28,-3.79,-0.05,-0.13,0.09
-8.64,-1.35,-3.76,-0.06,-0.07,0.08
-7.54,-1.23,-3.67,-0.06,-0.04,0.01
-7.42,-1.19,-3.56,-0.06,-0.11,-0.01
-8.16,-1.31,-3.59,-0.06,-0.12,-0.00
-8.18,-1.35,-3.55,-0.08,-0.07,0.01
-7.70,-1.34,-3.44,-0.10,-0.03,0.02
-7.20,-1.21,-3.40,-0.11,-0.06,0.04
-7.29,-1.10,-3.37,-0.12,-0.09,0.08
-7.13,-1.04,-3.25,-0.12,-0.11,0.08
-6.90,-0.93,-3.26,-0.10,-0.18,0.03
-8.17,-0.95,-3.49,-0.10,-0.25,0.06
-9.19,-0.85,-3.61,-0.10,-0.21,0.14
-9.05,-0.72,-3.52,-0.07,-0.10,0.15
-8.18,-0.68,-3.41,-0.02,-0.05,0.05
-8.16,-0.89,-3.40,0.01,-0.05,0.01
-7.86,-1.07,-3.39,0.01,-0.05,0.04
-7.68,-1.29,-3.34,0.01,-0.10,0.01
-8.24,-1.41,-3.45,-0.02,-0.12,0.03
-8.11,-1.37,-3.33,-0.04,-0.13,0.05
-8.43,-1.35,-3.31,-0.07,-0.11,0.09
-8.28,-1.30,-3.20,-0.09,-0.06,0.10
-7.53,-1.21,-3.11,-0.09,-0.04,0.07
-7.42,-1.15,-3.11,-0.10,-0.09,0.08
-7.61,-1.05,-3.11,-0.10,-0.15,0.07
-8.40,-1.07,-3.13,-0.11,-0.19,0.14
-8.86,-0.96,-3.21,-0.12,-0.15,0.21
-8.69,-0.90,-3.18,-0.11,-0.10,0.21
-8.24,-0.72,-3.13,-0.09,-0.07,0.18
