ax,ay,az,gx,gy,gz
-7.28,-0.48,-5.65,-0.08,0.08,0.17
-7.24,-0.66,-5.71,-0.11,0.11,0.16
-6.73,-0.97,-5.67,-0.14,0.10,0.09
-7.11,-1.20,-5.76,-0.21,0.08,-0.00
-7.77,-1.13,-5.83,-0.30,0.11,0.00
-7.33,-0.81,-5.64,-0.36,0.19,0.01
-6.52,-0.42,-5.47,-0.35,0.22,-0.11
-6.11,-0.19,-5.43,-0.31,0.22,-0.29
-5.88,-0.50,-5.36,-0.27,0.20,-0.41
-5.80,-0.91,-5.33,-0.29,0.15,-0.44
-6.49,-0.81,-5.56,-0.35,0.09,-0.39
-6.63,-0.72,-5.51,-0.42,0.11,-0.22
-6.28,-0.54,-5.42,-0.49,0.09,-0.11
-6.44,-0.12,-5.49,-0.52,0.07,-0.10
-6.54,0.28,-5.49,-0.51,0.06,-0.16
-6.92,0.75,-5.47,-0.47,0.03,-0.18
-7.25,1.13,-5.62,-0.42,0.04,-0.08
-7.41,0.85,-5.82,-0.34,0.09,-0.05
-6.84,0.23,-5.68,-0.28,0.16,-0.11
-6.08,-0.56,-5.49,-0.27,0.14,-0.24
-6.53,-0.96,-5.82,-0.31,0.09,-0.34
-7.13,-0.60,-5.87,-0.37,0.09,-0.32
-7.20,-0.24,-5.99,-0.40,0.12,-0.25
-6.58,-0.37,-5.75,-0.41,0.14,-0.23
-6.59,-0.15,-5.74,-0.42,0.10,-0.26
-7.00,0.53,-5.83,-0.40,0.10,-0.19
-6.52,0.81,-5.75,-0.31,0.12,-0.21
-6.50,0.04,-5.89,-0.25,0.11,-0.24
-6.68,-0.31,-5.98,-0.29,0.10,-0.11
-6.45,-0.20,-5.99,-0.33,0.11,0.03
-5.47,-0.17,-5.94,-0.32,0.10,0.01
-5.34,-0.52,-5.99,-0.32,0.05,-0.11
-5.51,-0.59,-5.98,-0.35,0.04,-0.14
-4.94,-0.26,-5.69,-0.38,0.04,-0.14
-4.66,-0.03,-5.66,-0.38,0.01,-0.09
-4.25,-0.30,-5.38,-0.39,-0.04,-0.00
-4.43,-0.13,-5.19,-0.43,-0.14,0.03
-5.43,0.27,-5.25,-0.46,-0.21,0.03
-6.04,0.65,-5.43,-0.47,-0.20,0.11
-6.13,0.59,-5.69,-0.45,-0.11,0.15
-5.16,0.16,-5.44,-0.45,-0.02,0.19
-4.68,0.12,-5.01,-0.47,-0.04,0.12
-4.36,0.44,-4.86,-0.44,-0.04,-0.06
-3.85,-0.11,-4.93,-0.36,-0.03,-0.51
-4.28,-0.05,-4.94,-0.34,-0.01,-0.78
-5.01,0.35,-4.72,-0.40,-0.02,-0.46
-4.64,0.57,-4.16,-0.51,-0.08,0.24
-2.72,0.50,-3.35,-0.58,-0.29,0.69
-2.01,0.35,-3.50,-0.57,-0.64,0.37
-4.80,0.88,-4.01,-0.55,-0.97,-0.10
-8.80,1.95,-4.64,-0.50,-0.98,-0.16
-8.73,2.08,-4.45,-0.42,-0.85,0.05
-7.73,2.05,-4.36,-0.30,-0.80,0.01
-7.21,1.86,-4.09,-0.17,-0.90,-0.26
-9.81,2.72,-4.65,-0.01,-0.89,-0.44
-10.52,3.23,-4.73,0.26,-0.60,-0.48
-9.20,1.82,-4.45,0.51,-0.35,-0.49
-7.05,-0.17,-4.06,0.58,-0.36,-0.52
-7.12,-0.97,-3.96,0.48,-0.57,-0.52
-8.45,-0.62,-4.24,0.38,-0.68,-0.39
-10.08,-0.75,-4.46,0.31,-0.65,-0.18
-11.02,-0.88,-4.67,0.24,-0.41,-0.03
-8.31,-1.03,-4.10,0.22,-0.26,-0.10
-7.57,-0.89,-3.94,0.19,-0.35,-0.31
-8.15,-0.20,-3.88,0.18,-0.42,-0.31
-8.34,-0.52,-3.93,0.16,-0.48,-0.07
-9.49,-1.15,-4.14,0.10,-0.45,0.10
-9.96,-1.17,-4.12,0.01,-0.35,0.19
-9.48,-0.41,-3.81,-0.00,-0.22,0.16
-8.04,0.22,-3.36,0.07,-0.15,0.05
-7.14,0.47,-3.21,0.20,-0.18,-0.19
-8.17,-0.40,-3.38,0.25,-0.27,-0.19
-9.26,-0.53,-3.50,0.20,-0.29,0.03
-9.76,-0.39,-3.48,0.19,-0.21,0.16
-8.81,-0.15,-3.24,0.23,-0.12,0.13
-7.97,-0.46,-3.17,0.30,-0.11,-0.03
-7.48,-0.80,-3.22,0.32,-0.15,-0.13
-8.19,-1.21,-3.32,0.26,-0.25,-0.04
-8.78,-1.04,-3.34,0.17,-0.27,0.19
-8.90,-0.53,-3.15,0.16,-0.24,0.26
-8.67,-0.54,-3.08,0.21,-0.16,0.15
-8.17,-1.14,-3.06,0.24,-0.16,-0.01
-8.65,-1.22,-3.27,0.18,-0.19,0.04
-8.83,-0.99,-3.18,0.11,-0.19,0.20
-8.44,-0.99,-3.07,0.10,-0.18,0.21
-8.66,-1.11,-2.98,0.10,-0.16,0.10
-9.39,-1.09,-2.98,0.09,-0.09,0.03
-8.70,-0.85,-2.86,0.08,-0.03,0.06
-7.85,-0.76,-2.83,0.10,-0.05,0.02
-7.46,-0.87,-2.80,0.11,-0.14,-0.01
-8.28,-1.12,-2.77,0.10,-0.22,-0.01
-9.34,-1.24,-2.81,0.07,-0.18,0.05
-9.07,-1.21,-2.79,0.05,-0.09,0.02
-8.27,-1.18,-2.76,0.04,-0.08,-0.01
-7.96,-1.20,-2.76,0.01,-0.15,-0.01
-8.71,-1.12,-2.69,-0.03,-0.21,0.03
-9.06,-0.92,-2.62,-0.05,-0.19,0.08
-8.80,-0.75,-2.47,-0.04,-0.14,0.11
-8.06,-0.90,-2.45,-0.01,-0.15,0.03
-8.32,-1.09,-2.64,-0.02,-0.20,-0.04
