ax,ay,az,gx,gy,gz
-7.08,-4.17,-5.32,-0.38,0.37,0.10
-6.93,-4.17,-5.32,-0.53,0.34,0.12
-6.61,-4.05,-4.95,-0.66,0.30,0.11
-5.92,-3.27,-4.60,-0.76,0.28,-0.01
-5.44,-2.30,-4.51,-0.76,0.22,-0.23
-5.73,-2.20,-4.50,-0.74,0.14,-0.35
-6.26,-2.32,-4.52,-0.78,0.07,-0.36
-6.62,-2.04,-4.50,-0.83,0.05,-0.31
-6.34,-1.60,-4.62,-0.85,0.05,-0.33
-5.73,-1.43,-4.63,-0.84,0.04,-0.40
-5.41,-1.79,-4.72,-0.85,-0.02,-0.43
-5.59,-1.90,-4.72,-0.90,-0.08,-0.46
-5.83,-1.60,-4.70,-0.96,-0.11,-0.49
-5.71,-1.03,-4.57,-0.99,-0.14,-0.51
-5.65,-0.37,-4.23,-1.01,-0.23,-0.42
-6.36,0.57,-4.23,-1.00,-0.30,-0.29
-6.76,1.29,-4.05,-0.92,-0.27,-0.30
-7.13,1.22,-4.18,-0.80,-0.18,-0.52
-6.27,1.20,-4.03,-0.70,-0.08,-0.69
-4.19,1.95,-3.40,-0.64,-0.16,-0.60
-2.49,2.66,-2.83,-0.53,-0.50,-0.17
-3.79,2.34,-3.00,-0.38,-0.90,0.14
-6.69,0.88,-3.60,-0.19,-1.02,0.05
-8.91,-1.47,-3.99,-0.16,-0.91,-0.23
-9.49,-1.78,-4.10,-0.30,-0.71,-0.41
-8.14,-0.40,-3.86,-0.43,-0.64,-0.22
-7.59,0.14,-3.39,-0.47,-0.69,0.08
-7.59,0.49,-2.91,-0.45,-0.76,0.08
-8.41,0.87,-2.96,-0.37,-0.78,-0.11
-8.76,1.09,-2.98,-0.29,-0.75,-0.20
-8.80,1.25,-2.74,-0.22,-0.75,-0.11
-8.16,1.52,-2.56,-0.13,-0.78,0.03
-8.03,1.36,-2.38,0.02,-0.84,0.02
-8.74,-0.06,-2.42,0.15,-0.87,-0.15
-9.52,-1.03,-2.57,0.15,-0.83,-0.31
-10.22,-1.02,-2.64,0.07,-0.79,-0.19
-10.25,-0.57,-2.96,0.02,-0.70,0.01
-9.83,-0.71,-3.16,0.05,-0.57,0.14
-9.81,-2.33,-2.89,0.04,-0.44,0.22
-8.39,-3.66,-2.15,-0.13,-0.39,0.26
-7.79,-3.15,-1.12,-0.37,-0.53,0.09
-9.71,-0.39,-0.52,-0.51,-0.66,-0.10
-11.40,2.67,-0.16,-0.43,-0.64,-0.14
-12.39,4.06,-0.26,-0.19,-0.54,-0.07
-12.50,4.43,-0.34,0.12,-0.36,-0.05
-11.77,3.45,-0.60,0.47,-0.18,-0.21
-11.09,1.32,-1.37,0.69,-0.06,-0.22
-10.14,-0.91,-1.83,0.69,0.00,-0.01
-8.91,-1.61,-1.80,0.59,0.01,0.06
-9.45,-1.26,-2.06,0.58,-0.02,-0.16
-10.17,-1.87,-2.22,0.58,0.03,-0.20
-10.21,-2.84,-2.19,0.46,0.09,0.03
-9.16,-2.10,-1.76,0.26,0.11,0.28
-8.20,-0.39,-1.25,0.22,0.10,0.29
-8.25,0.40,-1.05,0.35,0.07,0.17
-9.01,0.12,-1.13,0.49,0.06,0.10
-9.33,-0.66,-1.23,0.56,0.08,0.17
-9.82,-1.16,-1.23,0.57,0.10,0.22
-10.02,-1.19,-1.32,0.59,0.16,0.22
-9.60,-1.77,-1.49,0.62,0.22,0.16
-9.33,-2.31,-1.62,0.62,0.25,0.04
-9.66,-2.60,-1.89,0.56,0.25,0.08
-9.92,-2.76,-1.93,0.48,0.26,0.21
-10.06,-2.23,-1.92,0.42,0.30,0.25
-10.16,-1.53,-1.95,0.43,0.35,0.30
-9.87,-1.75,-1.93,0.49,0.42,0.25
-9.39,-2.45,-1.94,0.54,0.46,0.11
