ax,ay,az,gx,gy,gz
-6.37,-1.33,-2.70,-0.68,-0.24,-0.17
-6.61,-2.57,-2.82,-0.59,-0.23,-0.31
-6.18,-3.46,-2.81,-0.65,-0.24,-0.42
-6.13,-3.40,-2.70,-0.78,-0.31,-0.53
-5.99,-2.29,-2.32,-0.89,-0.38,-0.55
-5.96,-1.28,-1.91,-0.90,-0.48,-0.53
-6.48,-1.07,-1.89,-0.85,-0.55,-0.44
-6.85,-1.17,-1.80,-0.81,-0.59,-0.29
-7.09,-1.25,-1.85,-0.75,-0.62,-0.22
-7.54,-2.10,-2.44,-0.76,-0.65,-0.14
-7.62,-2.03,-2.78,-0.88,-0.68,-0.07
-7.94,-0.69,-3.12,-0.96,-0.71,-0.01
-7.76,0.94,-3.06,-0.89,-0.71,0.01
-7.32,1.93,-2.74,-0.67,-0.75,-0.06
-7.69,2.18,-2.80,-0.39,-0.82,-0.15
-8.86,1.75,-2.83,-0.12,-0.84,-0.20
-9.82,0.52,-2.85,0.03,-0.75,-0.02
-9.87,-0.45,-2.77,0.04,-0.64,0.20
-9.28,0.01,-2.45,0.02,-0.56,0.31
-8.58,1.13,-1.89,0.11,-0.56,0.33
-9.00,1.43,-1.59,0.34,-0.63,0.20
-10.36,0.14,-1.85,0.54,-0.61,0.15
-10.88,-1.45,-1.92,0.59,-0.51,0.19
-10.51,-2.40,-1.87,0.49,-0.43,0.24
-10.18,-1.87,-1.87,0.36,-0.41,0.30
-10.07,-0.29,-1.66,0.36,-0.39,0.22
-10.01,0.38,-1.43,0.50,-0.37,0.10
-10.37,0.08,-1.49,0.66,-0.33,0.05
-10.84,-0.50,-1.65,0.76,-0.23,0.06
-10.59,-1.09,-1.62,0.80,-0.12,0.08
-10.04,-1.54,-1.59,0.80,-0.04,0.12
-9.40,-1.37,-1.44,0.77,-0.01,0.19
-9.27,-1.10,-1.42,0.77,-0.03,0.23
-9.36,-1.04,-1.44,0.81,-0.03,0.17
-9.44,-0.83,-1.37,0.84,-0.01,0.14
-9.39,-0.68,-1.17,0.91,0.02,0.11
-9.48,-1.11,-1.08,0.96,0.04,0.13
-9.72,-1.54,-1.13,0.97,0.07,0.14
