ax,ay,az,gx,gy,gz
-6.83,-5.32,-3.07,-1.03,0.56,-0.41
-5.63,-3.80,-2.88,-1.08,0.50,-0.42
-5.11,-2.74,-3.01,-1.01,0.35,-0.42
-5.27,-3.23,-3.31,-0.92,0.22,-0.51
-5.77,-3.99,-3.73,-1.00,0.10,-0.45
-5.95,-3.34,-3.65,-1.12,0.04,-0.45
-5.55,-2.08,-3.22,-1.18,-0.05,-0.55
-5.97,-0.86,-3.08,-1.11,-0.16,-0.63
-7.05,-0.82,-3.69,-1.03,-0.20,-0.56
-7.58,-0.50,-3.98,-1.00,-0.14,-0.50
-7.35,0.20,-3.91,-0.92,-0.07,-0.44
-6.47,0.41,-4.04,-0.78,-0.04,-0.28
-6.14,0.12,-4.15,-0.64,-0.11,-0.27
-6.73,-0.32,-4.27,-0.51,-0.19,-0.43
-7.57,-1.25,-4.25,-0.44,-0.22,-0.51
-7.78,-1.92,-4.22,-0.45,-0.18,-0.46
-7.02,-1.47,-3.70,-0.41,-0.11,-0.36
-5.47,-1.50,-2.80,-0.22,-0.06,-0.24
-3.19,-4.23,-2.32,-0.07,-0.16,-0.17
-2.82,-8.26,-2.96,-0.28,-0.50,-0.21
-4.56,-9.70,-3.43,-0.89,-0.83,-0.27
-5.99,-6.88,-2.93,-1.50,-1.01,-0.26
-7.05,-2.18,-2.38,-1.72,-1.06,-0.27
-7.75,0.90,-2.18,-1.55,-0.99,-0.27
-7.67,1.71,-2.32,-1.25,-0.90,-0.17
-7.72,1.71,-2.76,-0.98,-0.85,-0.14
-8.31,1.26,-3.41,-0.73,-0.81,-0.06
-9.12,0.32,-3.83,-0.57,-0.72,0.02
-9.27,-0.57,-3.87,-0.52,-0.61,0.10
-9.03,-0.84,-3.73,-0.51,-0.52,0.14
-8.44,-0.84,-3.46,-0.51,-0.46,0.18
-7.61,-0.23,-2.83,-0.48,-0.45,0.22
-6.82,-0.36,-2.16,-0.35,-0.50,0.18
-6.35,-0.95,-1.85,-0.25,-0.60,0.05
-6.54,-1.61,-1.85,-0.21,-0.75,0.04
-8.46,-1.70,-2.28,-0.23,-0.84,0.09
-9.84,-1.25,-2.59,-0.26,-0.75,0.18
-10.19,-0.64,-2.64,-0.24,-0.63,0.18
-10.44,-0.10,-2.65,-0.19,-0.49,0.28
-10.27,0.93,-2.51,-0.08,-0.36,0.38
-10.07,1.23,-2.52,0.11,-0.24,0.53
-9.41,0.59,-2.45,0.29,-0.17,0.56
-9.17,-0.00,-2.49,0.39,-0.18,0.47
-9.36,-0.09,-2.65,0.44,-0.22,0.34
-9.67,0.57,-2.61,0.50,-0.24,0.21
-10.05,1.11,-2.37,0.64,-0.23,0.14
-10.54,0.73,-2.48,0.79,-0.18,0.18
-10.61,0.20,-2.44,0.89,-0.11,0.24
-10.64,-0.25,-2.39,0.97,-0.03,0.33
-10.47,-0.71,-2.40,1.00,0.03,0.39
-9.92,-0.88,-2.24,1.02,0.06,0.31
-9.78,-0.59,-2.07,1.07,0.05,0.23
-10.14,-0.48,-2.09,1.14,0.07,0.22
-10.36,-0.59,-2.11,1.21,0.14,0.31
-10.29,-1.07,-2.20,1.26,0.22,0.41
-9.67,-1.48,-2.18,1.28,0.26,0.37
-9.12,-1.43,-2.15,1.28,0.23,0.23
-9.39,-0.85,-2.03,1.31,0.18,0.13
-10.25,-0.72,-1.96,1.43,0.19,0.08
-11.51,-2.15,-2.04,1.51,0.31,0.18
-11.93,-3.57,-2.21,1.45,0.50,0.37
-11.56,-4.45,-2.11,1.31,0.68,0.46
-10.59,-4.77,-2.08,1.19,0.81,0.34
-9.44,-5.20,-2.06,1.05,0.85,0.26
-8.92,-5.78,-2.18,0.86,0.80,0.35
-9.14,-5.64,-2.22,0.65,0.74,0.36
-9.74,-5.72,-2.49,0.49,0.72,0.19
-10.51,-6.00,-2.73,0.32,0.78,-0.03
-10.91,-6.05,-2.86,0.09,0.93,0.06
-10.22,-5.17,-2.91,-0.14,1.09,0.31
-8.85,-3.55,-3.03,-0.25,1.18,0.59
-7.64,-3.03,-3.16,-0.22,1.19,0.70
-6.33,-3.69,-3.35,-0.20,1.11,0.56
-5.65,-4.42,-3.51,-0.28,0.95,0.23
-5.37,-4.25,-3.70,-0.42,0.76,0.01
-5.52,-3.64,-3.97,-0.53,0.60,-0.16
-5.83,-3.18,-4.00,-0.58,0.47,-0.26
-6.20,-2.99,-4.01,-0.60,0.38,-0.34
-6.41,-3.09,-3.96,-0.61,0.32,-0.42
-6.58,-3.03,-3.78,-0.61,0.27,-0.56
-6.69,-2.94,-3.62,-0.61,0.23,-0.63
-7.14,-3.23,-3.61,-0.62,0.22,-0.55
-7.24,-4.03,-3.69,-0.70,0.26,-0.46
-6.60,-4.00,-3.56,-0.85,0.31,-0.38
-5.31,-2.48,-2.98,-0.96,0.28,-0.34
-4.42,-1.26,-2.28,-0.88,0.16,-0.46
-4.43,-1.65,-2.24,-0.77,-0.01,-0.58
-4.99,-2.79,-2.47,-0.77,-0.13,-0.53
-5.61,-3.39,-2.83,-0.90,-0.20,-0.44
-5.45,-2.63,-2.61,-1.03,-0.22,-0.42
-5.29,-1.73,-2.64,-1.08,-0.28,-0.43
-5.77,-1.31,-2.82,-1.09,-0.34,-0.46
-5.99,-1.23,-3.08,-1.11,-0.39,-0.39
-6.45,-0.63,-3.53,-1.19,-0.45,-0.26
-7.33,0.69,-3.90,-1.20,-0.50,-0.29
-8.18,2.41,-4.16,-1.10,-0.49,-0.34
-8.65,3.77,-4.30,-0.85,-0.42,-0.34
-8.92,3.46,-4.60,-0.52,-0.33,-0.36
-8.93,2.27,-4.80,-0.30,-0.24,-0.30
-8.68,1.42,-4.65,-0.16,-0.18,-0.29
