ax,ay,az,gx,gy,gz
-6.72,-1.61,-2.61,-0.64,0.22,0.64
-6.60,-2.48,-3.03,-0.26,0.26,0.45
-6.47,-5.37,-3.42,-0.07,0.30,0.25
-6.08,-7.03,-3.73,-0.13,0.31,0.06
-5.92,-6.28,-3.69,-0.24,0.30,-0.15
-4.97,-4.81,-3.48,-0.27,0.24,-0.24
-4.61,-3.47,-3.51,-0.19,0.09,-0.14
-5.13,-3.97,-3.57,-0.00,-0.02,-0.17
-5.29,-6.02,-3.58,0.06,-0.05,-0.15
-4.81,-7.89,-3.50,-0.07,-0.08,-0.15
-3.96,-8.16,-2.83,-0.34,-0.15,-0.07
-3.10,-6.67,-2.08,-0.55,-0.31,-0.02
-3.11,-5.56,-1.67,-0.60,-0.51,-0.09
-3.57,-5.51,-1.72,-0.63,-0.69,-0.09
-4.12,-5.24,-1.83,-0.70,-0.83,-0.10
-4.87,-4.41,-1.96,-0.75,-0.93,-0.05
-5.84,-3.32,-2.10,-0.75,-0.99,-0.05
-7.39,-2.28,-2.37,-0.64,-0.94,-0.10
-9.47,-1.82,-2.61,-0.51,-0.74,0.16
-10.98,-2.16,-2.83,-0.43,-0.35,0.81
-9.16,-2.49,-2.47,-0.34,-0.00,0.88
-6.27,-3.12,-2.29,-0.25,0.03,0.70
-4.84,-4.11,-2.35,-0.23,-0.19,0.47
-4.87,-3.97,-2.40,-0.29,-0.48,0.35
-6.00,-3.02,-2.37,-0.29,-0.72,0.24
-7.82,-2.90,-2.50,-0.22,-0.80,0.20
-8.15,-3.37,-2.52,-0.18,-0.76,0.22
-7.52,-3.68,-2.43,-0.20,-0.79,0.19
-7.84,-2.95,-2.24,-0.20,-0.88,0.10
-8.87,-2.25,-1.95,-0.12,-0.90,-0.02
-9.62,-2.01,-1.75,-0.02,-0.84,-0.05
-10.40,-2.28,-1.89,0.07,-0.72,0.08
-10.82,-2.75,-2.14,0.13,-0.55,0.15
-10.61,-3.11,-2.10,0.16,-0.39,0.15
-10.29,-2.87,-1.91,0.16,-0.30,0.19
-10.58,-1.93,-1.63,0.25,-0.21,0.17
-10.43,-2.37,-1.62,0.38,-0.10,0.17
-10.43,-3.13,-1.66,0.44,-0.01,0.22
-10.38,-3.01,-1.59,0.47,0.11,0.29
-9.79,-3.23,-1.55,0.52,0.20,0.28
-9.18,-3.47,-1.66,0.55,0.25,0.33
-8.86,-3.37,-1.70,0.57,0.24,0.30
-9.43,-2.98,-1.93,0.61,0.25,0.33
-9.55,-2.94,-2.04,0.66,0.32,0.36
-9.21,-2.69,-1.90,0.75,0.38,0.38
-9.36,-3.33,-1.98,0.85,0.40,0.43
-10.07,-4.73,-2.28,0.84,0.47,0.63
-10.05,-5.36,-2.37,0.70,0.59,0.88
-9.17,-4.37,-1.90,0.61,0.68,0.84
-8.88,-3.85,-1.88,0.63,0.70,0.90
-9.00,-4.25,-1.96,0.63,0.71,1.10
-9.11,-4.76,-1.99,0.61,0.74,1.17
-8.19,-5.33,-2.02,0.56,0.75,1.11
-7.38,-5.48,-2.18,0.46,0.64,1.03
-7.35,-4.94,-2.20,0.37,0.48,0.99
-8.26,-4.65,-2.51,0.33,0.35,0.94
-8.84,-5.28,-2.51,0.30,0.29,0.70
-9.10,-5.70,-2.72,0.18,0.26,0.65
-9.44,-5.47,-2.94,0.05,0.25,0.53
-9.62,-4.37,-2.84,-0.01,0.27,0.20
-10.46,-3.52,-2.94,-0.01,0.33,0.12
-11.93,-3.37,-3.32,-0.02,0.51,0.37
-12.14,-3.54,-3.21,0.02,0.83,0.30
-10.51,-4.05,-2.93,-0.01,1.07,0.30
-8.84,-3.83,-2.82,-0.06,1.15,0.15
-7.84,-3.42,-2.72,-0.08,1.13,0.11
-6.92,-3.79,-2.96,-0.08,1.07,-0.02
-5.71,-3.52,-2.72,-0.11,0.95,-0.30
-4.72,-2.78,-2.39,-0.07,0.74,-0.49
-5.12,-3.52,-2.38,-0.01,0.49,-0.57
-5.55,-5.02,-2.57,-0.08,0.32,-0.54
-6.56,-5.73,-3.11,-0.29,0.20,-0.34
-7.62,-4.68,-3.50,-0.48,0.24,-0.16
-7.41,-3.29,-3.57,-0.53,0.35,-0.12
-6.80,-2.19,-3.45,-0.50,0.42,0.04
-6.00,-1.71,-3.22,-0.39,0.44,0.10
-5.14,-2.06,-2.87,-0.27,0.37,0.04
-5.21,-3.34,-3.41,-0.22,0.23,0.04
-5.54,-5.07,-3.92,-0.31,0.11,-0.03
-5.88,-5.66,-4.02,-0.60,-0.01,0.28
-6.89,-4.18,-4.02,-0.87,-0.04,0.39
-7.24,-2.10,-3.70,-0.96,0.02,0.61
-6.35,-1.03,-3.17,-0.86,0.06,0.46
-6.40,-1.47,-3.25,-0.74,0.05,0.12
-7.21,-1.58,-3.72,-0.68,0.07,-0.24
-7.22,-1.13,-4.22,-0.68,0.15,0.01
-6.94,-0.25,-4.28,-0.72,0.19,0.62
-6.15,0.54,-3.67,-0.55,0.22,0.40
-5.56,-1.02,-3.90,-0.44,0.15,0.50
-5.10,-2.07,-4.35,-0.51,0.05,0.55
-4.78,-1.05,-3.98,-0.62,-0.09,0.40
-4.88,1.19,-3.39,-0.56,-0.25,0.08
-5.56,2.29,-3.42,-0.31,-0.35,-0.37
-6.73,1.37,-3.75,-0.03,-0.39,-0.76
-7.53,-0.50,-3.98,0.08,-0.35,-0.91
-7.20,-2.44,-4.35,-0.10,-0.33,-0.52
-7.25,-2.53,-4.38,-0.34,-0.36,-0.33
-7.60,-1.33,-4.35,-0.47,-0.40,-0.29
-8.12,-0.26,-4.46,-0.48,-0.40,-0.14
-8.83,0.61,-4.19,-0.41,-0.38,-0.03
