ax,ay,az,gx,gy,gz
-6.52,-0.47,-2.36,-0.32,-0.05,0.13
-6.72,-0.76,-2.67,-0.24,-0.08,0.07
-6.32,-1.39,-2.66,-0.21,-0.11,0.04
-6.33,-1.46,-2.73,-0.21,-0.19,0.16
-6.66,-1.23,-2.41,-0.20,-0.28,0.17
-7.75,-1.08,-2.38,-0.11,-0.36,0.02
-8.75,-1.67,-2.45,-0.05,-0.37,-0.06
-9.46,-2.24,-2.58,-0.06,-0.31,0.01
-10.03,-2.63,-2.75,-0.13,-0.19,0.16
-9.77,-1.68,-2.56,-0.20,-0.07,0.24
-9.00,-0.91,-2.29,-0.15,0.01,0.21
-8.54,-1.12,-2.38,-0.07,0.04,0.10
-8.00,-1.37,-2.65,-0.03,0.04,0.04
-7.89,-1.35,-2.59,0.03,0.00,-0.04
-8.45,-2.16,-2.73,0.05,-0.03,-0.01
-8.97,-2.32,-2.79,0.00,0.01,0.19
-8.80,-1.93,-2.58,-0.03,0.10,0.36
-7.58,-1.50,-2.40,0.01,0.14,0.33
-7.20,-1.41,-2.20,0.06,0.07,0.32
-7.53,-1.56,-2.16,0.15,-0.01,0.17
-8.39,-2.42,-2.33,0.18,-0.06,0.04
-9.09,-3.18,-2.57,0.10,-0.04,0.01
-8.88,-2.73,-3.02,-0.03,0.03,0.23
-7.96,-1.97,-3.19,-0.04,0.09,0.32
-6.91,-2.33,-2.92,0.01,0.05,0.29
-6.63,-3.30,-2.82,0.10,-0.04,0.01
-7.42,-6.31,-3.03,0.04,-0.09,-0.11
-8.52,-8.35,-3.47,-0.31,0.01,0.08
-7.71,-6.99,-2.96,-0.66,0.19,0.16
-6.19,-4.92,-2.03,-0.77,0.25,-0.01
-5.48,-4.82,-1.59,-0.72,0.18,-0.48
-5.70,-5.65,-1.59,-0.81,0.09,-0.66
-6.00,-5.49,-1.74,-1.02,0.08,-0.54
-5.66,-4.33,-1.73,-1.27,0.14,-0.17
-3.96,-2.14,-0.97,-1.41,0.19,0.15
-0.95,0.01,0.49,-1.33,-0.07,0.22
-1.36,0.48,0.34,-1.11,-0.59,0.10
-4.62,-1.21,-0.65,-0.98,-0.90,-0.20
-7.48,-1.80,-1.33,-1.13,-0.87,-0.10
-7.10,0.49,-0.57,-1.30,-0.68,0.10
-7.15,2.93,0.18,-1.25,-0.70,0.47
-7.70,3.02,-0.23,-1.09,-0.68,0.67
-8.81,2.51,-0.62,-0.96,-0.61,0.69
-8.23,2.68,-0.42,-0.82,-0.48,0.44
-6.07,3.66,0.53,-0.69,-0.58,0.50
-6.83,3.56,0.53,-0.49,-0.89,0.63
-10.21,2.33,-0.20,-0.37,-1.03,0.70
-11.33,2.32,-0.29,-0.31,-0.95,0.42
-12.24,3.81,-0.08,-0.13,-0.81,-0.02
-11.18,4.47,0.33,0.08,-0.69,0.01
-11.00,4.11,0.46,0.26,-0.73,0.52
-11.70,3.72,0.28,0.42,-0.74,0.67
-11.30,4.27,0.62,0.67,-0.74,0.22
-11.10,4.20,0.91,0.97,-0.78,-0.06
-11.55,2.99,0.77,1.16,-0.81,0.02
-12.90,2.02,0.52,1.24,-0.79,0.26
-13.84,1.49,0.34,1.30,-0.68,0.25
-13.71,1.02,0.25,1.33,-0.49,0.17
-12.29,1.28,0.35,1.33,-0.36,0.24
-11.09,1.93,0.48,1.40,-0.38,0.31
-11.73,1.62,0.35,1.55,-0.43,0.18
-12.77,0.87,0.15,1.62,-0.37,0.16
-12.72,1.11,0.27,1.67,-0.25,0.14
-12.01,1.02,0.46,1.76,-0.18,0.14
-11.89,0.13,0.57,1.84,-0.15,0.03
-12.39,-1.10,0.51,1.86,-0.13,-0.07
-13.35,-2.04,0.59,1.83,-0.07,-0.10
-13.81,-3.73,0.44,1.73,0.04,0.02
-14.81,-5.52,0.11,1.54,0.16,0.00
-15.42,-6.90,-0.24,1.26,0.38,-0.18
-14.64,-7.13,-0.17,0.90,0.61,-0.35
-13.33,-6.80,-0.34,0.57,0.81,-0.36
-11.89,-5.25,-0.36,0.26,0.94,-0.06
-11.46,-3.79,-0.30,0.12,1.04,0.20
-10.46,-2.96,-0.29,0.07,1.11,0.28
-9.46,-2.69,-0.23,0.08,1.12,0.07
-9.05,-3.61,0.08,0.06,1.11,-0.18
-8.04,-4.11,0.07,-0.10,1.05,-0.14
-6.52,-3.22,0.30,-0.26,0.90,0.10
-6.54,-2.37,0.32,-0.24,0.67,-0.05
-7.67,-2.92,0.11,-0.12,0.54,-0.62
-8.43,-5.06,-0.11,-0.13,0.55,-1.12
-8.06,-6.93,0.01,-0.40,0.62,-1.17
-7.86,-7.59,0.02,-0.82,0.65,-0.89
-7.87,-6.97,-0.19,-1.24,0.76,-0.63
-6.78,-5.15,-0.10,-1.54,0.87,-0.49
-4.42,-3.73,0.07,-1.73,0.92,-0.45
-1.65,-2.19,0.52,-1.90,0.74,-0.27
0.17,-0.61,0.77,-2.02,0.36,0.07
-1.22,1.90,0.37,-1.98,-0.09,-0.00
-3.92,4.61,-0.52,-1.69,-0.37,-0.60
-6.74,6.10,-1.15,-1.28,-0.44,-0.93
-8.18,5.62,-1.69,-0.94,-0.35,-0.74
-8.06,4.62,-1.87,-0.71,-0.26,-0.33
-8.72,3.71,-2.04,-0.53,-0.18,-0.16
-8.87,3.00,-2.26,-0.35,-0.08,-0.13
-8.66,2.28,-2.35,-0.23,-0.01,-0.04
-8.45,1.72,-2.42,-0.12,0.04,0.03
-8.25,0.86,-2.56,-0.02,0.09,-0.04
-7.82,0.69,-2.39,0.05,0.10,-0.12
