ax,ay,az,gx,gy,gz
-4.81,-3.77,-3.23,-0.07,-0.04,-0.17
-6.48,-5.69,-3.62,-0.04,-0.18,-0.27
-7.41,-7.81,-3.91,-0.22,-0.19,-0.23
-7.81,-7.94,-3.97,-0.56,-0.15,-0.04
-7.68,-5.73,-3.64,-0.79,-0.09,-0.02
-7.13,-3.57,-3.34,-0.80,-0.03,-0.01
-6.38,-2.97,-3.09,-0.68,-0.02,-0.10
-5.77,-3.16,-3.19,-0.57,-0.07,-0.24
-5.52,-3.61,-3.21,-0.52,-0.14,-0.30
-5.47,-3.88,-3.01,-0.51,-0.22,-0.31
-5.38,-3.96,-2.62,-0.54,-0.30,-0.24
-5.62,-4.19,-2.62,-0.59,-0.38,-0.16
-5.54,-4.44,-2.61,-0.67,-0.43,-0.14
-5.60,-4.02,-2.52,-0.78,-0.52,-0.10
-5.85,-3.07,-2.43,-0.85,-0.62,-0.12
-6.50,-2.01,-2.36,-0.83,-0.71,-0.17
-7.34,-1.46,-2.50,-0.73,-0.73,-0.22
-7.52,-1.30,-2.52,-0.61,-0.68,-0.33
-6.78,-1.48,-2.45,-0.48,-0.65,-0.46
-6.28,-1.87,-2.32,-0.41,-0.70,-0.45
-6.32,-1.84,-2.21,-0.38,-0.80,-0.39
-7.32,-0.75,-2.15,-0.31,-0.85,-0.21
-8.19,-0.35,-2.08,-0.12,-0.81,-0.17
-8.21,-1.41,-2.10,0.04,-0.75,-0.12
-8.37,-2.50,-2.04,0.09,-0.72,-0.09
-8.65,-2.83,-1.80,0.09,-0.70,-0.10
-8.77,-2.78,-1.69,0.07,-0.69,-0.03
-9.38,-2.26,-1.60,0.08,-0.67,-0.01
-10.38,-1.87,-1.51,0.14,-0.59,0.02
-10.88,-1.96,-1.64,0.21,-0.43,0.13
-10.44,-2.20,-1.61,0.27,-0.27,0.15
-9.36,-2.28,-1.45,0.31,-0.19,0.17
-9.29,-2.06,-1.24,0.37,-0.19,0.16
-9.59,-2.19,-1.20,0.45,-0.17,0.16
-10.03,-2.88,-1.32,0.52,-0.14,0.13
-10.09,-3.48,-1.41,0.50,-0.08,0.13
-9.67,-3.04,-1.49,0.46,-0.03,0.18
-9.33,-1.86,-1.35,0.51,-0.01,0.13
-9.36,-1.49,-1.28,0.64,0.03,0.14
-9.26,-1.59,-1.17,0.79,0.08,0.13
-9.05,-2.68,-1.28,0.90,0.11,0.11
-9.01,-3.29,-1.29,0.91,0.12,0.08
-8.89,-2.94,-1.02,0.91,0.13,0.08
-9.20,-2.84,-0.87,0.97,0.14,0.12
-9.92,-3.34,-0.91,1.05,0.19,0.08
-10.14,-4.64,-1.24,1.05,0.28,0.09
-9.98,-5.34,-1.62,0.94,0.38,0.12
-9.55,-4.70,-1.67,0.81,0.46,0.21
-9.30,-3.40,-1.61,0.81,0.50,0.23
-9.34,-3.25,-1.49,0.90,0.53,0.23
-9.63,-4.21,-1.49,0.97,0.58,0.23
-9.56,-5.25,-1.26,0.97,0.64,0.22
-9.36,-6.06,-1.06,0.93,0.68,0.19
-9.14,-7.17,-1.17,0.83,0.70,0.15
-8.78,-7.77,-1.20,0.65,0.71,0.15
-8.64,-7.61,-1.16,0.48,0.68,0.13
-8.75,-7.32,-1.12,0.34,0.65,0.06
-9.20,-7.34,-1.36,0.23,0.67,0.01
-9.50,-7.45,-1.62,0.08,0.73,0.07
-9.33,-7.19,-1.66,-0.06,0.84,0.12
-8.55,-6.86,-1.46,-0.17,0.93,0.16
-7.58,-6.78,-1.46,-0.26,0.95,0.21
-6.87,-7.12,-1.62,-0.36,0.91,0.10
-6.33,-7.11,-1.61,-0.49,0.83,-0.02
-6.18,-7.02,-1.90,-0.64,0.69,-0.06
-7.16,-6.27,-2.07,-0.78,0.60,-0.08
-7.62,-5.15,-1.90,-0.83,0.64,-0.06
-6.39,-4.99,-1.87,-0.81,0.69,-0.08
-5.09,-5.45,-2.07,-0.84,0.62,-0.09
-4.35,-5.37,-2.34,-0.92,0.47,-0.15
-3.90,-4.75,-2.43,-0.99,0.30,-0.23
-4.19,-3.94,-2.45,-1.01,0.13,-0.24
-4.50,-3.39,-2.44,-0.98,0.01,-0.26
-4.63,-3.23,-2.63,-0.95,-0.07,-0.16
-4.72,-2.87,-2.73,-0.94,-0.15,-0.08
-4.75,-2.25,-2.52,-0.88,-0.21,-0.17
-4.48,-1.88,-2.40,-0.80,-0.30,-0.17
-4.27,-1.81,-2.21,-0.68,-0.42,-0.24
-4.77,-2.84,-2.54,-0.62,-0.60,-0.31
-6.10,-3.18,-2.80,-0.67,-0.70,-0.35
-7.15,-2.26,-2.82,-0.74,-0.72,-0.27
-7.89,-0.45,-2.68,-0.67,-0.66,-0.22
-8.33,-0.00,-2.53,-0.45,-0.58,-0.28
-8.64,-1.08,-2.75,-0.27,-0.49,-0.24
-8.85,-1.99,-3.04,-0.20,-0.40,-0.24
-8.41,-2.66,-3.11,-0.19,-0.33,-0.21
-8.04,-2.88,-3.19,-0.21,-0.33,-0.19
-8.28,-2.60,-3.25,-0.23,-0.35,-0.19
-8.74,-1.84,-3.22,-0.18,-0.35,-0.22
-9.53,-1.44,-3.32,-0.05,-0.29,-0.23
-9.90,-2.28,-3.39,0.07,-0.17,-0.16
-9.41,-3.69,-3.32,0.09,-0.04,-0.07
-8.59,-4.27,-3.20,0.01,0.02,0.02
-7.58,-3.97,-2.88,-0.07,-0.00,0.01
-7.58,-3.25,-2.84,-0.09,-0.08,0.01
-8.38,-2.98,-2.97,-0.03,-0.10,-0.00
-8.78,-3.50,-3.17,0.01,-0.05,0.05
-8.61,-4.18,-3.17,-0.01,0.02,0.11
-8.14,-4.09,-3.01,-0.06,0.06,0.16
-7.82,-3.79,-2.84,-0.08,0.07,0.17
