ax,ay,az,gx,gy,gz
-5.44,-3.95,-5.17,-0.35,0.31,0.36
-5.26,-3.76,-5.37,-0.40,0.23,0.28
-5.11,-3.65,-5.35,-0.46,0.16,0.27
-4.96,-3.53,-5.00,-0.50,0.08,0.28
-4.55,-3.38,-4.88,-0.52,-0.01,0.21
-5.01,-3.47,-5.02,-0.52,-0.10,0.06
-5.79,-3.98,-5.20,-0.57,-0.14,-0.01
-5.80,-4.17,-5.24,-0.66,-0.11,-0.08
-5.10,-4.20,-4.91,-0.77,-0.10,-0.15
-4.28,-3.69,-4.47,-0.90,-0.15,-0.21
-3.42,-2.75,-3.90,-0.99,-0.27,-0.26
-3.67,-2.03,-3.68,-1.01,-0.46,-0.36
-4.92,-1.60,-3.61,-1.03,-0.58,-0.41
-5.86,-1.06,-3.43,-1.03,-0.64,-0.42
-6.82,-0.47,-3.33,-1.06,-0.67,-0.31
-6.97,0.88,-3.08,-1.03,-0.64,-0.15
-6.56,1.76,-2.90,-0.87,-0.63,-0.18
-6.15,1.34,-2.67,-0.68,-0.66,-0.24
-6.52,0.57,-2.41,-0.58,-0.77,-0.34
-7.39,0.74,-2.37,-0.55,-0.86,-0.31
-8.08,1.28,-2.56,-0.49,-0.93,-0.14
-8.75,1.34,-2.91,-0.42,-0.93,0.07
-7.94,0.94,-2.90,-0.33,-0.91,0.18
-7.07,0.35,-2.48,-0.27,-0.98,0.13
-7.20,0.51,-2.18,-0.23,-1.10,0.01
-8.47,1.56,-2.38,-0.14,-1.19,-0.03
-9.70,1.45,-2.51,0.03,-1.15,0.00
-10.30,-0.01,-2.49,0.14,-1.05,0.03
-10.46,-0.73,-2.25,0.12,-0.95,0.06
-10.44,-0.29,-1.69,0.08,-0.87,0.00
-10.38,0.93,-1.09,0.14,-0.80,-0.14
-10.83,1.26,-0.75,0.27,-0.75,-0.31
-11.22,1.13,-0.55,0.38,-0.72,-0.27
-11.77,1.57,-0.56,0.49,-0.68,-0.23
-12.33,1.12,-1.06,0.64,-0.57,-0.12
-11.47,-0.71,-1.26,0.71,-0.42,-0.00
-10.26,-2.27,-1.28,0.65,-0.35,-0.04
-9.13,-2.77,-1.16,0.52,-0.39,0.03
-8.78,-2.66,-1.05,0.38,-0.51,0.20
-9.04,-1.93,-0.82,0.28,-0.57,0.32
-8.39,-0.94,-0.42,0.32,-0.58,0.13
-7.81,-1.14,-0.20,0.43,-0.63,-0.05
-8.84,-1.71,-0.15,0.44,-0.69,-0.03
-11.21,-1.69,-0.48,0.35,-0.62,0.23
-12.15,-1.30,-0.36,0.22,-0.38,0.57
-10.75,0.08,0.32,0.19,-0.11,0.53
-9.29,1.60,0.98,0.41,0.07,0.01
-9.96,1.31,0.69,0.69,0.14,-0.22
-10.65,0.53,0.51,0.80,0.20,0.07
-10.52,0.62,0.70,0.89,0.27,0.24
-9.97,0.07,0.74,1.08,0.31,0.13
-10.25,-1.64,0.31,1.21,0.30,0.03
-11.62,-3.92,-0.51,1.16,0.34,-0.00
-12.96,-4.39,-1.15,0.96,0.53,-0.01
-12.17,-3.57,-1.21,0.82,0.76,-0.01
-10.70,-3.67,-1.01,0.76,0.86,-0.02
-10.43,-3.91,-1.07,0.69,0.88,-0.07
-11.17,-3.93,-1.45,0.61,0.95,-0.18
-10.80,-3.77,-1.65,0.53,1.07,-0.20
-10.03,-3.98,-1.60,0.44,1.14,-0.15
-9.30,-3.93,-1.55,0.37,1.16,-0.13
-9.15,-3.54,-1.64,0.32,1.16,-0.19
-8.90,-3.01,-1.83,0.30,1.16,-0.20
-8.02,-3.17,-1.75,0.30,1.13,-0.10
-7.73,-3.51,-1.85,0.26,1.03,-0.03
-8.14,-3.30,-2.39,0.20,0.97,0.05
-7.56,-3.53,-2.53,0.17,0.96,0.12
-7.15,-3.81,-2.54,0.14,0.93,-0.02
-7.21,-3.56,-2.73,0.11,0.88,-0.11
-8.10,-3.93,-3.25,0.05,0.87,-0.01
-7.41,-4.48,-3.26,-0.06,0.89,0.13
-6.48,-4.65,-3.31,-0.19,0.86,0.11
-6.09,-4.35,-3.28,-0.30,0.79,0.07
-6.37,-3.96,-3.41,-0.37,0.74,-0.08
-6.88,-3.79,-3.60,-0.43,0.73,-0.14
-6.73,-3.54,-3.80,-0.51,0.74,-0.05
-5.89,-3.42,-3.83,-0.58,0.72,-0.02
-5.44,-3.68,-3.88,-0.65,0.66,-0.03
-5.07,-3.52,-3.86,-0.75,0.59,-0.06
-4.63,-2.67,-3.90,-0.80,0.49,-0.13
-4.18,-1.74,-3.93,-0.77,0.37,-0.20
-3.92,-1.50,-4.11,-0.71,0.22,-0.17
-4.58,-1.81,-4.27,-0.68,0.08,-0.12
-5.16,-1.84,-4.39,-0.71,-0.02,0.00
-5.20,-1.73,-4.13,-0.71,-0.09,-0.00
-5.87,-1.38,-4.02,-0.70,-0.14,-0.08
-6.28,-1.04,-4.06,-0.66,-0.17,-0.08
-6.38,-1.11,-4.12,-0.64,-0.17,-0.02
-6.24,-1.59,-4.18,-0.63,-0.16,-0.02
-5.79,-1.81,-4.20,-0.70,-0.16,-0.06
-5.22,-1.38,-3.94,-0.76,-0.21,-0.18
-5.65,-0.29,-3.85,-0.82,-0.29,-0.17
-6.36,0.80,-3.78,-0.79,-0.36,-0.09
-6.95,1.11,-3.73,-0.71,-0.39,-0.03
-6.91,1.23,-3.92,-0.62,-0.43,-0.04
-8.13,1.11,-3.83,-0.53,-0.46,-0.11
-9.69,1.15,-4.14,-0.45,-0.42,-0.20
-10.63,1.34,-4.34,-0.38,-0.30,-0.13
-9.98,1.35,-4.39,-0.28,-0.19,-0.02
-9.39,0.80,-4.55,-0.19,-0.14,0.09
