ax,ay,az,gx,gy,gz
-6.55,-1.38,-4.22,0.06,0.16,0.13
-6.38,-1.45,-4.31,0.06,0.10,0.09
-6.74,-1.64,-4.46,0.06,0.06,0.08
-6.99,-1.70,-4.46,0.03,0.04,0.07
-7.39,-1.52,-4.53,0.02,0.03,0.05
-7.48,-1.32,-4.54,0.01,0.05,0.06
-7.21,-1.31,-4.49,0.02,0.06,0.05
-7.00,-1.27,-4.44,0.02,0.03,0.07
-7.34,-1.27,-4.47,0.04,-0.00,0.08
-7.60,-1.46,-4.48,0.05,-0.00,0.05
-7.66,-1.53,-4.52,0.06,0.02,0.02
-7.34,-1.79,-4.51,0.07,0.04,0.00
-7.07,-2.55,-4.58,0.05,0.03,0.01
-7.11,-3.06,-4.61,-0.05,0.01,0.07
-7.22,-2.57,-4.55,-0.15,-0.02,0.06
-7.52,-1.52,-4.42,-0.18,-0.03,0.03
-7.89,-0.77,-4.44,-0.14,-0.03,0.02
-8.18,-0.59,-4.37,-0.08,-0.02,0.05
-8.23,-0.58,-4.53,-0.01,0.01,0.10
-8.23,-1.02,-4.61,0.02,0.04,0.11
-7.79,-1.22,-4.59,0.03,0.06,0.10
-7.67,-1.58,-4.69,0.04,0.06,0.07
-7.55,-2.31,-4.86,0.02,0.08,0.09
-6.89,-3.22,-4.81,-0.03,0.11,0.07
-5.83,-4.04,-4.66,-0.11,0.13,0.01
-4.73,-4.38,-4.53,-0.21,0.09,-0.07
-4.25,-4.54,-4.62,-0.30,0.05,-0.19
-3.74,-4.96,-4.56,-0.37,0.10,-0.47
-2.73,-5.84,-4.00,-0.43,0.15,-0.97
-1.89,-6.56,-3.36,-0.56,0.06,-1.54
-3.00,-6.30,-2.97,-0.79,-0.13,-1.77
-4.65,-4.73,-2.68,-1.07,-0.34,-1.31
-5.72,-2.77,-2.30,-1.24,-0.51,-0.59
-7.00,-1.95,-2.17,-1.23,-0.63,-0.33
-9.73,-1.93,-3.19,-1.14,-0.53,-0.43
-12.14,-2.50,-3.98,-1.13,-0.12,-0.51
-9.89,-2.17,-3.34,-1.14,0.43,-0.60
-2.90,-1.39,-1.42,-1.06,0.45,-1.12
-2.25,1.07,-1.63,-0.88,-0.08,-1.60
-6.05,2.96,-2.62,-0.55,-0.45,-1.52
-9.08,1.17,-3.61,-0.31,-0.44,-0.79
-4.76,-1.39,-2.82,-0.22,-0.38,-0.37
-2.37,-3.19,-2.37,-0.23,-0.75,-0.78
-5.38,-1.69,-2.43,-0.27,-1.13,-1.04
-9.81,-0.34,-2.91,-0.24,-1.25,-0.66
-11.90,-0.51,-3.32,-0.23,-1.06,0.09
-10.35,-1.46,-3.13,-0.23,-0.82,0.40
-7.97,-1.03,-2.57,-0.21,-0.76,0.20
-8.19,0.56,-2.11,-0.10,-0.92,0.04
-10.83,1.83,-2.42,0.08,-1.01,0.22
-11.88,2.02,-2.56,0.31,-0.96,0.43
-12.12,1.56,-2.55,0.58,-0.86,0.31
-13.75,1.05,-2.91,0.83,-0.70,0.14
-14.36,-0.21,-3.16,1.01,-0.43,0.24
-13.36,-1.67,-3.29,1.09,-0.17,0.30
-11.22,-2.49,-3.10,1.09,0.00,0.32
-9.80,-3.07,-2.88,1.01,0.01,0.50
-9.51,-3.66,-2.95,0.89,-0.03,0.61
-9.92,-2.92,-3.06,0.80,-0.05,0.63
-10.22,-2.24,-2.88,0.82,-0.02,0.65
-10.20,-2.69,-2.80,0.86,0.03,0.65
-10.08,-3.29,-2.67,0.84,0.03,0.72
-10.01,-3.34,-2.57,0.75,0.01,0.85
-10.48,-2.57,-2.36,0.65,-0.03,0.99
-11.30,-0.84,-2.22,0.70,0.00,1.06
-11.82,-0.09,-2.04,0.94,0.13,0.93
-11.63,-0.79,-1.84,1.19,0.26,0.73
-11.69,-2.12,-1.85,1.34,0.33,0.65
-12.23,-3.26,-1.95,1.36,0.44,0.65
-12.17,-4.18,-1.91,1.28,0.65,0.65
-10.33,-3.84,-1.62,1.21,0.83,0.43
-9.01,-2.29,-1.61,1.29,0.86,0.13
-8.80,-3.28,-1.91,1.46,0.82,-0.02
-8.52,-6.04,-2.36,1.45,0.75,0.00
-9.14,-9.33,-2.95,1.18,0.65,0.07
-8.99,-10.74,-3.27,0.68,0.61,0.18
-8.29,-9.52,-3.25,0.17,0.50,0.39
-7.66,-7.89,-3.08,-0.14,0.34,0.48
-8.53,-6.05,-2.98,-0.27,0.22,0.41
-8.87,-5.74,-3.03,-0.29,0.18,0.30
-9.28,-6.64,-3.05,-0.37,0.17,0.18
-10.30,-6.82,-3.12,-0.55,0.22,0.16
-10.02,-5.64,-2.74,-0.71,0.36,0.16
-8.87,-3.65,-2.38,-0.74,0.44,0.10
-7.54,-2.58,-2.19,-0.64,0.44,0.06
-7.50,-2.66,-2.15,-0.53,0.42,0.01
-7.67,-3.14,-2.48,-0.49,0.45,-0.05
-8.04,-3.52,-2.56,-0.57,0.52,-0.00
-6.79,-2.70,-2.42,-0.70,0.59,0.30
-5.24,-1.67,-1.97,-0.81,0.48,0.86
-5.07,-0.73,-2.04,-0.77,0.36,0.92
-6.19,-0.48,-2.43,-0.58,0.39,0.39
-5.54,-1.30,-2.66,-0.43,0.50,-0.24
-4.54,-2.63,-2.68,-0.47,0.47,-0.56
-4.28,-3.11,-2.68,-0.67,0.32,-0.57
-3.84,-2.74,-2.69,-0.90,0.18,-0.37
-3.25,-1.43,-2.48,-1.06,0.02,-0.24
-4.35,-0.16,-3.09,-1.09,-0.04,-0.22
-3.94,0.43,-2.83,-1.06,0.01,-0.15
-3.26,1.15,-2.21,-0.98,-0.09,-0.26
