ax,ay,az,gx,gy,gz
-6.58,-3.56,-5.13,-0.59,0.29,0.26
-6.60,-4.07,-5.31,-0.68,0.25,0.28
-6.27,-4.40,-5.04,-0.80,0.25,0.28
-4.82,-3.93,-4.71,-0.91,0.22,0.23
-3.48,-3.51,-4.46,-1.00,0.06,0.19
-3.37,-3.03,-4.25,-1.09,-0.16,0.13
-4.56,-2.63,-4.12,-1.19,-0.32,0.04
-5.68,-2.11,-3.98,-1.27,-0.38,-0.10
-6.27,-1.16,-3.62,-1.35,-0.36,-0.19
-5.51,0.28,-3.32,-1.34,-0.36,-0.36
-5.29,1.15,-3.23,-1.26,-0.43,-0.50
-5.99,1.56,-3.19,-1.18,-0.51,-0.55
-6.96,1.43,-3.25,-1.14,-0.53,-0.44
-6.42,1.96,-2.73,-1.12,-0.54,-0.31
-5.60,3.12,-2.29,-1.03,-0.64,-0.26
-6.12,3.67,-2.13,-0.86,-0.76,-0.23
-7.36,3.12,-2.22,-0.71,-0.79,-0.20
-7.63,2.21,-2.11,-0.63,-0.74,-0.23
-7.23,2.51,-1.95,-0.59,-0.73,-0.27
-6.59,2.81,-2.17,-0.44,-0.80,-0.21
-6.73,1.24,-2.60,-0.33,-0.94,-0.06
-7.68,0.10,-3.08,-0.33,-1.05,0.03
-9.45,-1.16,-3.43,-0.40,-1.05,0.09
-10.87,-1.77,-3.48,-0.57,-0.93,0.05
-10.95,-0.61,-3.09,-0.74,-0.74,0.01
-9.91,1.16,-2.26,-0.78,-0.62,-0.11
-9.42,2.73,-1.60,-0.69,-0.59,-0.22
-9.26,3.68,-1.19,-0.52,-0.59,-0.22
-9.13,3.79,-0.64,-0.35,-0.62,-0.15
-9.39,4.06,-0.29,-0.21,-0.66,-0.11
-10.27,4.69,-0.07,-0.05,-0.65,-0.08
-10.48,5.42,0.11,0.19,-0.59,-0.19
-11.28,4.59,-0.38,0.48,-0.52,-0.24
-11.79,2.78,-1.00,0.63,-0.40,-0.09
-11.05,1.29,-1.30,0.63,-0.28,0.04
-10.17,1.13,-1.27,0.56,-0.21,0.06
-10.11,2.15,-1.23,0.56,-0.15,-0.01
-10.07,2.61,-1.13,0.65,-0.09,-0.00
-9.78,1.74,-0.83,0.70,-0.08,0.20
-10.12,1.51,-0.48,0.70,-0.08,0.33
-10.43,1.90,-0.55,0.74,0.00,0.25
-10.01,1.94,-0.48,0.85,0.13,0.07
-9.04,1.27,-0.56,0.95,0.19,-0.10
-9.04,-0.16,-1.00,0.98,0.15,-0.11
-9.54,-0.99,-1.37,0.88,0.12,0.06
-9.78,-0.76,-1.67,0.80,0.15,0.12
-9.72,0.14,-1.66,0.81,0.20,-0.01
-9.52,0.00,-1.73,0.90,0.23,-0.05
-9.51,-1.04,-2.09,0.90,0.23,0.03
-9.59,-1.74,-2.21,0.80,0.25,0.06
-9.89,-1.31,-2.18,0.71,0.31,-0.04
-9.46,-0.07,-1.89,0.70,0.40,-0.11
-7.97,0.70,-1.56,0.83,0.40,-0.20
-7.74,0.28,-1.65,1.00,0.26,-0.20
-8.77,-1.76,-1.89,1.06,0.10,0.04
-10.61,-3.49,-2.62,0.98,0.06,0.19
-12.10,-4.49,-2.98,0.79,0.19,0.29
-12.16,-4.51,-2.93,0.59,0.43,0.25
-11.03,-3.31,-2.53,0.46,0.62,0.10
-9.82,-2.67,-2.34,0.43,0.69,0.00
-9.86,-2.08,-2.34,0.41,0.69,0.02
-10.03,-2.00,-2.52,0.38,0.71,0.19
-9.63,-2.44,-2.38,0.34,0.73,0.24
-9.48,-2.47,-2.48,0.30,0.75,0.07
-9.62,-2.89,-2.93,0.24,0.80,0.00
-8.92,-2.88,-2.85,0.14,0.88,-0.10
-8.69,-2.57,-2.83,0.10,0.91,-0.24
-8.80,-2.63,-2.98,0.06,0.93,-0.24
-7.88,-2.89,-3.16,0.02,0.95,-0.12
-6.38,-3.24,-3.31,-0.02,0.91,-0.15
-5.10,-4.19,-3.47,-0.08,0.80,-0.25
-5.44,-4.95,-3.74,-0.27,0.63,-0.22
-6.14,-4.34,-3.83,-0.50,0.55,-0.15
-6.38,-3.31,-3.61,-0.64,0.55,-0.22
-5.85,-2.55,-3.32,-0.68,0.58,-0.38
-5.11,-2.27,-3.10,-0.73,0.53,-0.45
-4.26,-1.51,-3.02,-0.77,0.42,-0.42
-3.44,-1.14,-3.06,-0.75,0.23,-0.36
-3.31,-1.46,-3.11,-0.74,0.01,-0.31
-4.41,-1.58,-3.37,-0.78,-0.19,-0.25
-7.26,-1.36,-3.71,-0.83,-0.23,-0.19
-10.77,-2.74,-4.10,-0.87,0.10,-0.77
-10.06,-2.94,-4.35,-0.97,0.56,-1.64
-6.92,-1.99,-4.21,-1.19,0.63,-1.51
-4.77,0.49,-4.11,-1.31,0.40,-0.86
-3.53,2.06,-4.10,-1.23,0.07,-0.18
-3.68,2.46,-3.65,-1.06,-0.26,0.32
-4.87,2.56,-3.24,-0.83,-0.48,0.41
-6.75,2.44,-3.05,-0.60,-0.63,0.38
-9.47,2.07,-3.41,-0.42,-0.61,0.30
-10.74,2.32,-3.98,-0.28,-0.42,0.24
-10.17,1.54,-4.32,-0.14,-0.23,0.23
-8.85,0.78,-4.30,-0.07,-0.11,0.15
-8.57,0.80,-4.48,-0.03,-0.09,0.10
-8.38,0.90,-4.63,0.06,-0.05,0.11
-8.22,0.01,-4.81,0.12,-0.04,0.19
-7.86,-1.01,-4.90,0.12,-0.03,0.26
-7.67,-1.47,-4.83,0.03,-0.04,0.31
-7.82,-1.09,-4.77,-0.05,-0.06,0.32
-8.03,-0.67,-4.59,-0.07,-0.04,0.30
