ax,ay,az,gx,gy,gz
-7.89,0.00,-5.30,-0.18,0.31,0.46
-7.82,-2.05,-5.76,-0.02,0.34,0.39
-6.64,-4.02,-5.85,0.02,0.40,0.05
-5.92,-5.77,-5.73,-0.05,0.41,-0.39
-5.55,-6.90,-5.61,-0.26,0.38,-0.67
-5.41,-6.62,-5.32,-0.58,0.27,-0.60
-5.47,-5.01,-5.04,-0.84,0.16,-0.42
-5.76,-3.86,-4.87,-0.94,0.12,-0.46
-6.10,-3.52,-4.70,-0.98,0.16,-0.67
-5.65,-2.83,-4.39,-1.01,0.19,-0.93
-4.82,-2.08,-4.04,-1.02,0.14,-1.13
-5.39,-1.97,-4.08,-1.04,0.03,-1.22
-7.13,-1.98,-4.22,-1.07,0.04,-1.28
-8.20,-1.79,-4.19,-1.10,0.17,-1.28
-7.58,-2.10,-4.27,-1.16,0.32,-1.14
-5.18,-2.60,-3.92,-1.25,0.36,-1.15
-2.36,-2.29,-3.23,-1.38,0.17,-1.13
-1.70,-0.98,-2.76,-1.42,-0.20,-1.23
-4.63,0.90,-3.07,-1.34,-0.52,-1.30
-7.70,1.75,-3.67,-1.16,-0.56,-1.16
-8.42,1.92,-3.99,-0.99,-0.41,-0.91
-5.82,1.70,-3.65,-0.83,-0.33,-0.68
-4.11,1.05,-3.52,-0.67,-0.47,-0.73
-6.43,0.52,-4.10,-0.56,-0.56,-0.83
-7.00,0.49,-4.25,-0.46,-0.44,-0.83
-5.79,-0.09,-3.75,-0.38,-0.43,-0.87
-5.17,-0.56,-3.48,-0.38,-0.61,-0.84
-7.91,-0.11,-3.89,-0.45,-0.79,-0.53
-9.55,0.58,-4.29,-0.46,-0.70,-0.22
-8.28,0.90,-4.00,-0.36,-0.54,-0.16
-7.31,0.43,-3.74,-0.24,-0.50,-0.34
-6.86,0.33,-3.40,-0.17,-0.55,-0.45
-7.90,0.90,-3.74,-0.10,-0.65,-0.42
-10.05,1.45,-3.92,-0.02,-0.63,-0.09
-9.94,1.45,-3.85,0.14,-0.42,0.11
-7.54,0.78,-3.45,0.38,-0.23,-0.13
-6.47,-0.22,-3.30,0.62,-0.25,-0.73
-7.99,-1.19,-3.58,0.69,-0.36,-0.78
-9.44,-1.84,-3.88,0.59,-0.43,-0.21
-8.86,-1.92,-3.64,0.47,-0.41,0.27
-8.26,-1.70,-3.45,0.48,-0.43,0.17
-9.01,-1.46,-3.57,0.54,-0.46,-0.07
-10.16,-1.14,-3.60,0.58,-0.44,-0.01
-9.80,-1.40,-3.49,0.59,-0.44,0.27
-9.68,-1.75,-3.54,0.57,-0.49,0.43
-10.52,-1.37,-3.63,0.59,-0.51,0.41
-11.13,-0.84,-3.60,0.66,-0.43,0.38
-10.82,-1.19,-3.44,0.73,-0.34,0.46
-10.35,-1.97,-3.25,0.70,-0.30,0.67
-10.01,-1.66,-3.06,0.65,-0.26,0.73
-10.10,-0.63,-2.94,0.74,-0.18,0.55
-9.41,-0.42,-2.61,0.89,-0.11,0.45
-8.85,-0.90,-2.34,1.02,-0.10,0.53
-8.49,-1.55,-2.17,1.10,-0.15,0.62
-9.21,-1.36,-2.22,1.15,-0.19,0.70
-9.70,-1.66,-2.19,1.26,-0.17,0.66
-10.17,-2.43,-2.16,1.34,-0.11,0.56
-10.45,-3.04,-2.21,1.33,-0.03,0.61
-10.12,-3.06,-2.12,1.28,0.01,0.71
-10.25,-2.57,-2.21,1.27,0.00,0.77
-10.74,-2.01,-2.22,1.36,0.02,0.75
-11.76,-2.66,-2.49,1.49,0.11,0.69
-11.91,-4.40,-2.78,1.52,0.27,0.62
-11.17,-5.30,-2.86,1.41,0.33,0.64
-11.83,-5.66,-2.95,1.23,0.37,0.71
-11.49,-5.03,-2.66,1.05,0.44,0.82
-10.98,-3.79,-2.54,1.02,0.53,0.82
-10.33,-4.78,-2.56,1.05,0.62,0.68
-9.05,-5.74,-2.44,0.95,0.63,0.54
-8.21,-5.50,-2.32,0.78,0.49,0.52
-8.68,-4.09,-2.26,0.66,0.26,0.54
-12.24,-4.06,-2.83,0.61,0.21,0.76
-14.67,-5.74,-3.31,0.53,0.56,0.70
-11.35,-6.22,-2.95,0.38,0.93,0.36
-7.39,-5.40,-2.60,0.23,0.83,0.16
-7.71,-3.95,-2.67,0.09,0.56,0.39
-9.96,-3.81,-3.15,0.08,0.52,0.52
-9.24,-4.51,-3.20,0.10,0.71,0.29
-7.30,-5.42,-3.12,0.02,0.74,0.02
-6.04,-4.95,-2.75,-0.16,0.60,0.09
-5.65,-3.88,-2.56,-0.31,0.34,0.34
-8.20,-3.18,-2.87,-0.37,0.16,0.48
-9.73,-3.38,-3.29,-0.42,0.28,0.63
-8.25,-3.50,-3.03,-0.47,0.47,0.49
-5.92,-2.97,-2.48,-0.49,0.52,0.14
-4.51,-2.48,-2.14,-0.47,0.38,-0.30
-5.30,-2.70,-2.55,-0.49,0.20,-0.43
-6.87,-3.19,-3.02,-0.61,0.16,-0.31
-6.80,-3.65,-3.11,-0.76,0.24,-0.20
-5.13,-4.12,-2.52,-0.95,0.25,-0.27
-4.98,-3.63,-2.48,-1.14,0.16,-0.58
-5.45,-1.96,-2.54,-1.28,0.11,-0.67
-5.89,0.09,-2.29,-1.30,0.10,-0.62
-5.99,-0.14,-2.67,-1.19,0.09,-0.72
-6.27,-0.58,-2.57,-1.18,0.11,-0.67
-6.15,-0.82,-2.73,-1.18,0.08,-0.76
-6.85,-0.11,-3.01,-1.21,0.08,-0.73
-6.64,0.82,-3.16,-1.19,0.12,-0.52
-6.30,1.20,-3.55,-1.15,0.16,-0.25
-4.47,1.32,-3.12,-1.11,0.15,0.00
