ax,ay,az,gx,gy,gz
-6.34,-2.09,-2.88,-0.20,0.28,0.10
-6.91,-4.39,-3.09,-0.09,0.24,-0.12
-6.61,-6.33,-3.29,-0.22,0.23,-0.22
-5.53,-6.64,-3.03,-0.49,0.15,-0.20
-5.29,-5.52,-2.86,-0.75,0.02,-0.08
-5.39,-4.03,-2.48,-0.88,-0.09,-0.02
-5.23,-3.19,-2.29,-0.90,-0.18,-0.03
-5.28,-2.99,-2.27,-0.88,-0.28,-0.09
-5.83,-3.18,-2.38,-0.88,-0.34,-0.14
-6.43,-2.76,-2.38,-0.94,-0.32,-0.03
-6.06,-1.41,-1.90,-0.91,-0.23,0.08
-4.83,-1.37,-1.50,-0.77,-0.19,0.05
-3.41,-3.17,-1.71,-0.78,-0.36,0.09
-4.05,-3.36,-2.37,-1.01,-0.68,0.01
-5.96,-0.79,-2.65,-1.17,-0.89,-0.15
-7.06,2.09,-2.34,-1.08,-0.98,-0.21
-7.82,4.35,-1.79,-0.72,-1.02,-0.34
-9.54,3.65,-1.95,-0.23,-1.01,-0.37
-11.28,0.44,-2.64,0.04,-0.84,-0.29
-11.13,-1.84,-2.99,-0.01,-0.62,-0.12
-9.72,-1.78,-2.57,-0.16,-0.48,0.01
-8.90,-0.68,-2.03,-0.18,-0.49,-0.01
-10.16,-0.56,-1.87,-0.10,-0.51,-0.04
-11.29,-1.60,-1.70,-0.04,-0.39,-0.07
-10.49,-2.54,-1.85,-0.10,-0.27,0.01
-9.24,-1.57,-1.67,-0.17,-0.25,0.04
-8.92,-0.26,-1.65,-0.09,-0.29,0.13
-8.99,0.16,-1.75,0.07,-0.30,0.16
-8.75,-0.47,-1.78,0.22,-0.31,0.09
-8.82,-0.59,-1.65,0.29,-0.35,-0.02
-9.56,-0.18,-1.64,0.41,-0.36,-0.09
-10.79,-0.51,-1.92,0.51,-0.29,0.09
-10.84,-0.70,-1.94,0.61,-0.13,0.14
-9.12,-1.24,-1.37,0.70,-0.08,0.00
-8.97,-1.09,-1.04,0.77,-0.17,-0.11
-10.30,-1.38,-1.27,0.89,-0.18,-0.19
-11.10,-2.47,-1.60,0.98,-0.07,-0.22
-10.69,-3.83,-1.91,0.95,0.08,-0.12
-9.75,-4.32,-1.92,0.80,0.15,-0.03
-9.45,-3.66,-1.91,0.66,0.15,0.05
-9.40,-2.54,-1.93,0.59,0.17,0.03
-9.45,-0.93,-1.76,0.64,0.20,0.02
-9.51,-0.15,-1.64,0.82,0.26,0.04
-9.57,-0.64,-1.75,1.00,0.33,0.03
-9.20,-1.36,-1.77,1.11,0.40,0.04
-8.71,-1.60,-1.48,1.19,0.43,0.07
-8.58,-2.31,-1.38,1.26,0.41,0.06
-9.22,-3.25,-1.55,1.28,0.40,0.04
-9.67,-3.95,-1.65,1.23,0.46,0.10
-9.53,-4.22,-1.49,1.16,0.53,0.18
-9.34,-4.33,-1.30,1.12,0.56,0.20
-9.18,-4.54,-1.13,1.10,0.57,0.21
-9.30,-5.58,-1.00,1.09,0.57,0.09
-9.08,-6.85,-1.24,0.95,0.54,0.09
-9.06,-7.38,-1.48,0.75,0.52,0.10
-8.69,-7.33,-1.49,0.55,0.48,0.08
-8.46,-6.84,-1.54,0.36,0.44,0.12
-8.04,-6.04,-1.22,0.25,0.38,0.13
-8.56,-6.03,-1.32,0.20,0.32,0.04
-9.48,-6.80,-1.68,0.11,0.37,-0.07
-9.62,-6.70,-2.17,-0.07,0.50,-0.05
-8.68,-5.46,-2.12,-0.22,0.62,0.23
-7.44,-4.69,-1.60,-0.25,0.65,0.34
-6.73,-4.47,-0.93,-0.23,0.56,0.25
-7.11,-4.98,-1.05,-0.23,0.45,0.13
-7.57,-5.38,-1.38,-0.29,0.41,0.01
-7.52,-5.08,-1.55,-0.37,0.42,0.03
-7.29,-5.01,-1.61,-0.42,0.43,0.07
-6.49,-5.30,-1.41,-0.49,0.43,0.10
-5.66,-5.31,-1.06,-0.58,0.32,0.03
-5.76,-5.29,-1.31,-0.65,0.17,-0.12
-6.67,-5.33,-1.76,-0.74,0.10,-0.10
-6.72,-5.03,-1.80,-0.86,0.10,0.03
-6.11,-4.29,-1.57,-0.92,0.05,-0.02
-6.34,-3.55,-1.57,-0.91,-0.03,-0.17
-7.31,-3.24,-1.78,-0.87,-0.03,-0.18
-6.97,-3.82,-2.02,-0.87,0.03,-0.08
-6.46,-4.02,-2.01,-0.95,0.03,0.06
-5.86,-3.64,-1.76,-1.03,-0.02,-0.00
-5.64,-2.94,-1.64,-1.10,-0.13,-0.00
-6.31,-2.02,-1.68,-1.10,-0.22,-0.07
-6.49,-1.81,-1.83,-1.05,-0.24,-0.16
