ax,ay,az,gx,gy,gz
-7.94,2.56,-2.21,0.36,0.23,0.16
-7.90,0.78,-2.50,0.42,0.22,0.14
-7.97,0.15,-2.93,0.30,0.21,0.33
-8.08,0.64,-3.15,0.17,0.24,0.50
-7.86,1.85,-3.03,0.07,0.25,0.82
-8.39,2.89,-2.84,0.10,0.27,1.17
-9.81,3.21,-2.99,0.18,0.38,1.54
-9.76,3.89,-2.86,0.27,0.53,1.86
-8.75,4.34,-2.62,0.47,0.59,1.85
-8.37,4.18,-2.55,0.73,0.59,1.54
-9.33,3.59,-2.54,0.92,0.63,1.67
-9.11,3.23,-2.27,1.01,0.73,2.31
-6.22,3.54,-1.53,1.18,0.58,2.62
-4.41,3.26,-1.24,1.51,0.19,1.77
-5.38,2.83,-1.13,1.86,-0.15,0.85
-6.35,1.53,-0.86,2.07,-0.39,0.86
-8.24,0.24,-0.80,2.15,-0.55,1.17
-9.85,-1.30,-1.00,2.19,-0.56,1.27
-10.24,-2.54,-1.02,2.18,-0.49,0.94
-10.55,-3.66,-1.17,2.15,-0.35,0.50
-9.69,-5.47,-1.18,1.95,-0.25,0.56
-9.92,-6.38,-1.40,1.63,-0.23,0.90
-10.65,-7.03,-1.87,1.26,-0.22,0.99
-11.34,-6.92,-2.57,0.91,-0.11,0.60
-10.54,-5.77,-2.92,0.61,0.06,0.13
-9.41,-3.83,-2.89,0.40,0.17,-0.09
-8.32,-2.57,-2.69,0.32,0.18,0.05
-8.18,-2.65,-2.68,0.27,0.06,0.30
-9.25,-3.05,-2.90,0.21,-0.00,0.24
-9.64,-3.46,-2.94,0.14,0.04,-0.10
-9.66,-3.64,-2.93,0.00,0.15,-0.32
-8.36,-3.32,-2.61,-0.18,0.20,-0.14
-7.62,-2.94,-2.29,-0.32,0.14,0.10
-8.31,-3.03,-2.34,-0.38,0.08,-0.03
-8.87,-3.54,-2.28,-0.46,0.14,-0.23
-7.84,-4.22,-2.11,-0.64,0.21,-0.28
-6.63,-3.78,-1.94,-0.86,0.18,-0.25
-6.25,-2.24,-1.63,-0.99,0.08,-0.15
-6.50,-1.45,-1.35,-0.98,-0.02,-0.15
-6.98,-2.52,-1.52,-0.99,-0.08,-0.15
-7.05,-3.43,-1.75,-1.17,-0.09,-0.06
-6.25,-2.59,-1.68,-1.38,-0.16,0.03
-6.75,-0.80,-1.64,-1.44,-0.27,-0.18
-7.04,0.16,-1.70,-1.34,-0.31,-0.56
-6.78,-0.18,-1.75,-1.28,-0.36,-0.81
-6.20,-0.19,-1.63,-1.29,-0.46,-0.80
-6.28,-0.23,-1.47,-1.30,-0.61,-0.85
-7.34,-0.85,-1.62,-1.36,-0.72,-0.79
-8.95,-1.83,-1.98,-1.60,-0.75,-0.55
-9.62,-0.45,-1.92,-1.86,-0.73,-0.45
-10.64,2.35,-1.65,-1.92,-0.69,-0.54
-11.45,3.95,-1.58,-1.73,-0.53,-0.66
-10.90,3.03,-1.85,-1.60,-0.39,-0.44
-10.62,2.04,-2.16,-1.63,-0.35,-0.21
-11.34,2.88,-2.08,-1.67,-0.32,-0.22
-11.80,4.07,-2.04,-1.60,-0.18,-0.26
-10.55,4.80,-1.98,-1.47,-0.02,-0.13
-8.66,4.64,-1.97,-1.32,-0.01,0.04
-8.62,4.50,-2.16,-1.19,-0.13,-0.05
-9.77,4.72,-2.30,-1.04,-0.18,-0.22
-10.13,5.25,-2.27,-0.87,-0.15,-0.24
-9.82,4.95,-2.23,-0.66,-0.09,-0.19
-9.27,4.00,-2.23,-0.51,-0.04,-0.09
-8.95,3.10,-2.18,-0.44,-0.03,-0.02
-9.03,2.96,-2.09,-0.40,-0.02,0.04
-9.10,3.48,-2.02,-0.35,0.01,0.10
-8.68,4.07,-1.90,-0.23,0.02,0.07
-8.75,4.26,-1.82,-0.08,0.01,0.07
-8.89,3.88,-1.79,0.03,0.03,0.15
-8.52,3.69,-1.66,0.08,0.05,0.26
-8.23,4.16,-1.64,0.12,0.05,0.35
-7.70,5.28,-1.46,0.22,-0.01,0.35
-8.05,6.32,-1.27,0.45,-0.07,0.15
-8.44,6.07,-1.23,0.69,-0.09,0.18
-8.24,5.22,-0.99,0.86,-0.09,0.30
-8.22,4.03,-0.95,0.97,-0.11,0.38
-8.33,3.62,-0.91,0.99,-0.12,0.47
-8.65,3.22,-0.78,1.02,-0.13,0.52
-9.22,3.14,-0.89,1.03,-0.10,0.72
-9.24,3.06,-0.78,1.04,-0.04,0.97
-8.69,2.88,-0.77,1.06,-0.01,1.08
-8.36,3.22,-0.82,1.12,-0.05,0.99
-8.17,3.77,-0.69,1.30,-0.11,0.71
-8.75,2.15,-0.68,1.43,-0.15,0.55
-9.56,0.30,-0.88,1.42,-0.14,0.44
-9.74,-0.59,-0.87,1.33,-0.08,0.44
-8.86,-0.86,-0.74,1.28,-0.05,0.40
-8.73,-1.76,-0.83,1.28,-0.07,0.28
-9.22,-3.51,-0.92,1.22,-0.07,0.11
-9.81,-4.80,-1.16,1.03,-0.02,0.02
-10.27,-5.26,-1.37,0.77,0.06,0.14
-9.87,-4.84,-1.59,0.49,0.15,0.28
-8.80,-3.87,-1.67,0.27,0.18,0.38
-8.29,-2.42,-1.59,0.17,0.13,0.26
-8.51,-1.84,-1.67,0.14,0.10,0.13
-8.51,-1.64,-1.64,0.07,0.07,0.10
-8.90,-1.06,-1.71,-0.04,0.09,0.12
-8.57,0.12,-1.75,-0.10,0.11,0.12
-7.85,1.36,-1.73,-0.06,0.09,0.02
-7.58,1.88,-1.70,0.06,0.02,-0.16
