ax,ay,az,gx,gy,gz
-7.40,-0.38,-2.59,0.20,0.15,0.30
-8.01,-1.03,-2.78,0.21,0.07,0.43
-8.63,-1.58,-2.77,0.17,0.08,0.46
-8.18,-2.16,-2.49,0.10,0.10,0.40
-7.63,-2.23,-2.41,-0.03,0.05,0.33
-7.74,-1.96,-2.48,-0.14,-0.02,0.31
-7.85,-2.61,-2.73,-0.29,-0.06,0.32
-7.35,-3.19,-3.37,-0.61,-0.12,0.62
-8.04,-1.19,-3.42,-0.91,-0.18,0.84
-8.60,3.06,-2.70,-0.93,-0.16,0.98
-8.49,6.28,-2.05,-0.47,-0.09,0.77
-7.76,5.17,-1.98,0.13,-0.06,0.49
-8.32,2.84,-2.34,0.44,-0.08,0.47
-9.28,2.33,-2.55,0.51,-0.06,0.70
-9.85,3.70,-2.31,0.62,0.01,0.73
-9.14,4.24,-1.88,0.95,0.11,0.29
-7.96,2.34,-1.55,1.29,0.11,-0.18
-8.03,-0.95,-1.66,1.35,0.07,-0.16
-8.73,-3.26,-1.93,1.08,0.03,0.34
-9.42,-1.62,-1.85,0.76,0.05,0.74
-8.85,1.35,-1.58,0.87,0.12,0.49
-8.37,1.11,-1.65,1.20,0.15,0.27
-8.62,-1.54,-1.90,1.36,0.17,0.38
-8.47,-4.22,-2.22,1.24,0.18,0.47
-8.37,-4.11,-2.36,0.93,0.14,0.38
-8.16,-1.72,-2.26,0.84,0.13,0.06
-8.33,-1.18,-2.27,0.94,0.13,-0.01
-8.57,-2.66,-2.41,0.98,0.16,0.14
-8.18,-4.35,-2.57,0.86,0.20,0.11
-7.67,-4.78,-2.66,0.59,0.16,0.12
-7.77,-3.40,-2.74,0.35,0.11,0.23
-7.57,-1.77,-2.58,0.32,0.10,0.13
-7.16,-1.67,-2.36,0.40,0.07,0.05
-6.94,-2.65,-2.13,0.44,0.00,0.01
-7.54,-3.77,-2.23,0.36,-0.06,-0.00
-8.06,-4.22,-2.30,0.19,-0.04,0.03
-7.70,-3.62,-2.24,0.01,-0.02,0.02
-7.20,-2.77,-2.03,-0.07,-0.04,-0.04
-6.98,-2.77,-1.94,-0.11,-0.07,-0.07
-7.04,-2.75,-1.79,-0.16,-0.12,-0.04
-7.54,-2.91,-1.80,-0.21,-0.12,-0.03
-7.64,-3.08,-1.92,-0.28,-0.09,-0.06
-8.64,-2.02,-2.08,-0.30,0.03,-0.01
-8.19,-1.41,-1.67,-0.20,0.24,0.44
-6.75,-3.35,-1.75,-0.16,0.25,0.83
-6.39,-4.82,-1.86,-0.33,0.08,0.56
-6.64,-3.78,-1.72,-0.52,-0.11,-0.17
-6.55,-2.38,-1.52,-0.61,-0.27,-0.61
-7.15,-1.49,-1.47,-0.63,-0.42,-0.54
-9.05,-1.88,-1.72,-0.67,-0.46,-0.11
-10.49,-2.02,-2.02,-0.77,-0.31,0.14
-9.20,-2.04,-1.56,-0.81,-0.20,-0.33
-8.39,-2.03,-1.53,-0.87,-0.24,-0.63
-9.01,-2.00,-1.89,-1.03,-0.27,-0.25
-10.27,-1.19,-2.15,-1.18,-0.17,0.24
-9.42,-0.50,-2.01,-1.23,-0.05,0.26
-8.66,0.17,-2.16,-1.24,-0.03,0.07
-8.42,1.51,-2.26,-1.20,-0.04,0.12
-8.55,2.63,-2.11,-1.08,-0.06,0.37
-9.86,2.76,-2.53,-0.91,-0.01,0.57
-8.90,1.36,-2.62,-0.74,0.08,0.25
-6.72,0.17,-2.39,-0.72,-0.05,-0.43
-6.47,0.67,-2.05,-0.78,-0.35,-0.65
-8.60,1.61,-2.26,-0.79,-0.55,-0.53
-10.82,1.96,-2.60,-0.72,-0.50,-0.34
-11.24,2.13,-2.50,-0.64,-0.31,-0.14
-10.17,2.11,-2.31,-0.54,-0.17,-0.10
-9.23,1.53,-2.25,-0.44,-0.14,-0.13
-8.98,0.62,-2.38,-0.44,-0.19,-0.09
-9.70,1.38,-2.29,-0.47,-0.24,-0.10
-10.78,2.44,-2.45,-0.41,-0.20,-0.09
-11.08,3.08,-2.49,-0.28,-0.09,-0.07
-10.50,3.29,-2.20,-0.12,0.01,-0.05
-10.31,3.09,-2.02,0.03,0.06,-0.02
-10.78,3.16,-2.19,0.13,0.14,0.09
-10.65,3.55,-2.14,0.26,0.27,0.19
-9.97,4.22,-2.03,0.43,0.37,0.25
-9.17,4.40,-1.93,0.69,0.44,0.18
-8.43,3.55,-1.82,0.92,0.44,0.20
-7.81,2.65,-1.76,1.03,0.40,0.31
-7.64,2.14,-1.48,1.12,0.31,0.35
-8.24,0.83,-1.83,1.13,0.24,0.39
-8.61,0.66,-1.85,1.01,0.23,0.64
-8.29,1.41,-1.77,0.98,0.25,0.76
-7.57,1.69,-1.65,1.04,0.21,0.74
-7.66,1.73,-1.82,1.12,0.14,0.69
-7.47,1.40,-1.81,1.22,0.12,0.69
-6.55,0.57,-1.34,1.28,-0.01,0.78
-6.92,-0.02,-1.17,1.32,-0.21,0.68
-8.23,-0.83,-1.27,1.38,-0.33,0.36
-9.59,-1.66,-1.52,1.39,-0.32,0.07
-9.81,-2.45,-1.58,1.33,-0.18,0.09
-8.67,-2.71,-1.37,1.23,-0.10,0.24
-8.28,-2.97,-1.26,1.12,-0.11,0.33
-8.18,-2.54,-0.93,1.08,-0.16,0.12
-8.60,-3.17,-0.97,1.11,-0.19,-0.28
-9.00,-4.50,-1.15,1.01,-0.17,-0.39
-9.08,-5.09,-1.25,0.77,-0.13,-0.19
-8.99,-4.60,-1.17,0.54,-0.09,0.00
-8.79,-4.20,-1.12,0.42,-0.07,-0.04
