ax,ay,az,gx,gy,gz
-7.68,-0.36,-3.42,0.28,-0.05,-0.33
-7.59,-0.96,-3.42,0.26,-0.08,-0.31
-7.62,-0.78,-3.42,0.23,-0.11,-0.31
-7.80,-0.71,-3.24,0.24,-0.13,-0.31
-8.22,-0.84,-3.34,0.23,-0.12,-0.22
-8.37,-1.02,-3.57,0.16,-0.10,-0.07
-8.76,0.11,-3.67,0.10,-0.06,0.03
-8.72,1.37,-3.72,0.11,-0.01,0.14
-9.13,3.09,-3.85,0.18,0.03,0.27
-9.66,5.23,-3.89,0.39,0.12,0.31
-9.56,6.75,-3.94,0.74,0.23,0.53
-9.20,6.53,-3.46,1.15,0.29,0.63
-9.08,4.38,-3.46,1.44,0.28,0.73
-10.05,2.92,-3.55,1.53,0.28,0.79
-10.41,3.17,-2.92,1.60,0.37,0.89
-9.06,2.18,-2.33,1.74,0.41,1.07
-9.07,0.73,-2.22,1.80,0.36,1.36
-8.09,-1.11,-1.79,1.86,0.36,1.31
-6.20,-3.69,-1.54,1.78,0.23,1.20
-5.77,-4.51,-1.22,1.53,0.00,1.30
-6.90,-3.69,-1.09,1.41,-0.20,1.23
-7.68,-3.85,-0.85,1.46,-0.28,0.72
-8.99,-4.53,-1.35,1.42,-0.27,0.76
-9.93,-4.77,-1.41,1.35,-0.13,0.85
-8.77,-5.85,-1.25,1.25,0.02,0.74
-6.97,-6.52,-1.01,1.08,-0.00,0.47
-6.96,-6.65,-1.39,0.85,-0.12,0.35
-7.79,-6.26,-1.85,0.62,-0.18,0.23
-8.21,-5.18,-1.98,0.43,-0.15,0.09
-8.14,-4.31,-1.76,0.32,-0.13,0.06
-8.33,-4.33,-1.75,0.25,-0.11,0.05
-8.29,-4.99,-1.78,0.14,-0.08,0.02
-8.52,-5.46,-1.71,-0.04,-0.03,0.05
-7.99,-5.67,-1.47,-0.23,0.04,0.01
-7.13,-5.68,-1.30,-0.43,0.07,-0.07
-6.43,-5.36,-0.97,-0.63,0.06,-0.01
-6.43,-5.02,-0.62,-0.85,0.03,0.27
-5.89,-5.18,-0.31,-1.00,0.03,0.25
-3.72,-5.85,0.14,-1.13,-0.08,-0.49
-2.21,-4.99,0.78,-1.26,-0.41,-1.10
-2.99,-4.76,0.98,-1.41,-0.81,-0.97
-6.41,-3.63,0.72,-1.56,-1.02,-0.60
-9.05,-2.79,0.30,-1.58,-0.91,-0.37
-10.14,-2.71,-0.12,-1.58,-0.75,-0.34
-9.94,-4.15,-0.76,-1.67,-0.65,-0.45
-10.41,-3.80,-1.04,-1.98,-0.68,-0.44
-11.15,-0.66,-1.43,-2.13,-0.70,-0.71
-13.00,1.78,-1.75,-2.16,-0.72,-0.56
-14.69,4.80,-2.56,-1.93,-0.55,-0.82
-14.35,5.58,-2.74,-1.58,-0.31,-0.90
-13.19,5.13,-3.09,-1.25,-0.14,-0.95
-12.11,4.67,-3.11,-1.00,-0.07,-0.76
-12.04,3.80,-3.04,-0.75,-0.03,-0.54
-11.73,2.01,-2.99,-0.61,0.04,-0.50
-10.81,0.69,-2.66,-0.57,0.11,-0.46
-9.56,0.30,-2.54,-0.58,0.13,-0.36
-8.87,1.58,-2.26,-0.49,0.10,-0.32
-8.63,1.44,-2.18,-0.28,0.10,-0.21
-7.90,0.03,-2.20,-0.16,0.10,-0.03
-6.86,-1.17,-2.11,-0.17,0.00,0.06
-7.25,-1.55,-2.34,-0.25,-0.13,0.05
-7.69,-0.21,-2.24,-0.30,-0.19,-0.04
-8.49,2.32,-2.06,-0.14,-0.20,-0.05
-8.92,2.26,-1.91,0.17,-0.14,0.05
-8.89,0.50,-2.12,0.34,-0.07,0.25
-8.81,-0.51,-2.21,0.37,-0.01,0.35
-8.49,0.84,-1.72,0.42,0.01,0.20
-8.83,1.36,-1.44,0.59,-0.02,0.19
-10.13,0.38,-1.82,0.73,0.00,0.22
-10.97,-0.36,-2.17,0.73,0.15,0.19
-10.13,0.61,-2.25,0.69,0.31,0.03
-9.68,3.65,-1.77,0.77,0.40,0.08
-9.76,6.48,-1.05,1.12,0.41,0.43
-10.86,5.37,-0.96,1.61,0.42,0.61
-11.90,1.92,-1.63,1.87,0.53,0.51
-11.53,0.11,-2.41,1.76,0.71,0.62
-9.64,2.30,-2.21,1.58,0.82,0.93
-7.09,5.20,-0.85,1.74,0.75,1.11
-6.30,5.90,0.27,2.21,0.49,1.14
-6.68,2.00,0.83,2.67,0.26,1.12
-6.97,-1.20,1.38,2.81,0.16,1.05
-7.41,-2.34,3.16,2.93,0.05,0.89
-9.42,-6.88,3.59,3.06,-0.05,0.74
-11.88,-14.61,1.74,2.68,0.03,0.52
-11.36,-17.90,0.36,1.76,0.28,0.23
-8.47,-15.49,0.24,0.75,0.32,0.32
-8.15,-10.77,-0.17,0.05,0.19,0.45
-8.59,-6.58,-0.53,-0.23,0.12,0.30
-8.58,-4.58,-1.13,-0.30,0.10,0.19
-8.47,-3.50,-1.52,-0.31,0.13,0.08
-7.68,-2.90,-1.75,-0.32,0.15,0.10
-7.04,-1.93,-1.60,-0.32,0.12,0.11
-6.60,-1.71,-1.69,-0.27,0.04,0.08
-6.85,-1.71,-1.75,-0.25,-0.06,0.04
-7.34,-1.80,-1.81,-0.25,-0.13,0.04
-8.28,-1.64,-1.92,-0.27,-0.14,0.06
-8.38,-1.40,-1.99,-0.29,-0.09,0.07
-8.10,-0.90,-2.04,-0.31,-0.07,0.16
-7.57,-0.22,-1.82,-0.27,-0.08,0.14
-7.71,0.14,-1.79,-0.18,-0.14,0.13
