ax,ay,az,gx,gy,gz
-8.59,-1.91,-2.39,-0.21,-0.03,0.09
-8.58,-1.22,-2.41,-0.31,-0.01,0.23
-9.10,0.42,-2.58,-0.43,0.04,0.44
-8.96,3.93,-2.86,-0.39,0.18,0.74
-7.19,6.95,-2.43,0.03,0.24,0.96
-5.46,7.15,-1.67,0.72,0.08,0.63
-6.41,3.73,-1.84,1.30,-0.17,0.12
-8.40,-0.01,-2.35,1.51,-0.27,-0.15
-9.31,-2.66,-2.19,1.46,-0.26,-0.18
-10.32,-4.62,-1.77,1.34,-0.20,-0.22
-11.14,-6.05,-1.54,1.11,-0.05,-0.21
-11.37,-6.07,-1.55,0.81,0.14,-0.02
-11.46,-4.57,-1.83,0.49,0.39,0.30
-10.27,-2.11,-2.14,0.25,0.64,0.76
-8.12,0.90,-2.20,0.18,0.74,1.19
-6.73,3.20,-2.02,0.32,0.63,1.30
-7.00,5.09,-2.29,0.58,0.45,1.05
-8.08,6.37,-2.68,0.91,0.37,0.92
-8.78,6.70,-2.76,1.28,0.43,0.98
-9.10,4.97,-3.05,1.56,0.58,1.35
-7.54,3.35,-2.03,1.62,0.64,1.69
-6.14,2.21,-1.57,1.67,0.50,1.51
-6.55,0.91,-1.56,1.66,0.29,1.28
-9.21,-0.34,-2.60,1.54,0.22,1.27
-11.34,0.01,-3.48,1.27,0.40,1.82
-10.31,3.17,-2.61,1.15,0.61,2.45
-7.71,4.90,-0.92,1.47,0.54,2.52
-7.56,1.48,-0.33,1.95,0.32,1.86
-8.70,-3.71,-0.72,1.99,0.20,1.66
-7.62,-6.40,-0.58,1.66,0.08,1.67
-6.39,-5.84,0.24,1.36,-0.22,1.26
-7.75,-5.68,0.12,1.21,-0.51,0.76
-9.93,-6.64,-1.03,1.01,-0.53,0.51
-10.54,-6.53,-1.37,0.69,-0.39,0.56
-10.35,-5.59,-1.79,0.43,-0.20,0.40
-9.55,-4.37,-1.87,0.18,-0.03,0.25
-7.97,-2.83,-1.80,0.09,0.04,-0.06
-6.95,-2.47,-1.66,0.04,-0.04,-0.18
-7.74,-2.70,-1.78,-0.06,-0.18,-0.15
-9.80,-2.15,-2.35,-0.18,-0.21,-0.16
-11.09,-1.80,-2.76,-0.29,-0.04,-0.03
-10.15,-1.54,-2.73,-0.42,0.20,0.32
-8.67,-0.96,-2.30,-0.57,0.25,0.67
-8.52,-0.19,-2.43,-0.61,0.23,0.44
-8.31,0.58,-2.16,-0.57,0.23,-0.09
-7.91,0.58,-2.13,-0.52,0.22,-0.37
-7.32,0.79,-1.90,-0.50,0.22,-0.29
-6.43,0.69,-1.41,-0.46,0.17,-0.05
-6.53,-0.53,-1.28,-0.42,0.08,-0.05
-7.98,-2.55,-1.97,-0.54,0.09,0.05
-9.12,-2.89,-2.30,-0.87,0.23,0.52
-8.36,-1.61,-1.82,-1.09,0.43,0.72
-7.04,-0.79,-1.42,-1.15,0.50,0.52
-5.37,-0.91,-1.26,-1.10,0.47,0.01
-2.60,-1.59,-0.89,-1.01,0.19,-0.85
-2.56,-3.41,-0.81,-0.98,-0.35,-1.46
-5.89,-5.37,-1.24,-1.21,-0.78,-1.53
-8.43,-5.76,-0.99,-1.62,-0.95,-1.37
-9.72,-5.43,-0.69,-2.10,-0.97,-1.17
-10.96,-3.07,-0.63,-2.68,-0.93,-0.64
-12.65,2.58,-0.49,-2.97,-0.77,-0.49
-12.46,7.93,-0.52,-2.69,-0.51,-0.91
-10.17,9.83,-0.74,-2.06,-0.39,-1.46
-9.86,6.93,-1.56,-1.58,-0.46,-1.45
-10.52,4.89,-2.18,-1.48,-0.51,-1.09
-10.65,5.85,-1.79,-1.41,-0.53,-0.99
-11.14,6.15,-1.55,-1.15,-0.54,-1.15
-11.74,4.50,-1.49,-0.97,-0.50,-1.10
-12.02,3.00,-1.45,-0.92,-0.39,-0.79
-11.83,2.25,-1.49,-1.01,-0.26,-0.34
-11.37,2.73,-1.54,-1.09,-0.12,-0.02
-9.57,4.11,-1.30,-1.04,-0.04,-0.01
-8.49,5.40,-1.11,-0.81,-0.12,-0.17
-8.19,5.72,-0.99,-0.46,-0.26,-0.33
-9.52,3.88,-0.91,-0.17,-0.38,-0.42
-11.36,2.22,-1.35,-0.14,-0.30,-0.24
-11.17,3.24,-1.26,-0.17,-0.10,-0.09
-9.52,4.84,-1.08,-0.03,0.02,-0.11
-7.83,5.41,-0.79,0.24,-0.00,-0.16
-8.18,4.52,-0.67,0.47,-0.10,-0.06
-9.51,3.54,-0.71,0.57,-0.10,0.17
-10.24,4.03,-0.45,0.62,-0.00,0.42
-9.67,4.14,-0.34,0.73,0.10,0.48
-9.20,4.57,-0.24,0.79,0.14,0.64
-8.96,5.34,-0.17,0.88,0.14,0.93
-8.89,5.93,-0.11,1.03,0.13,1.02
-9.12,6.09,0.01,1.20,0.13,1.10
-9.30,6.28,-0.04,1.35,0.16,1.29
-9.13,6.16,-0.01,1.51,0.19,1.54
-8.35,6.35,0.15,1.66,0.16,1.71
-7.53,6.30,0.72,1.92,0.03,1.54
-7.07,4.45,1.37,2.22,-0.15,0.97
-7.80,1.54,1.63,2.42,-0.33,0.37
-9.49,-0.96,1.78,2.47,-0.37,0.11
-10.84,-4.58,1.62,2.37,-0.28,0.40
-11.07,-8.37,1.09,2.02,-0.18,0.66
-11.40,-9.79,0.62,1.50,-0.11,0.61
-11.32,-8.78,0.11,1.01,-0.03,0.44
-10.57,-7.13,-0.12,0.64,0.02,0.31
-10.00,-5.50,-0.45,0.38,0.03,0.27
