ax,ay,az,gx,gy,gz
-6.67,0.91,-2.87,0.03,0.10,-0.30
-6.44,-0.38,-3.10,0.22,0.03,-0.34
-6.70,-1.47,-3.32,0.23,-0.04,-0.25
-7.02,-1.16,-3.05,0.18,-0.08,-0.18
-7.23,-0.31,-2.76,0.13,-0.10,0.03
-7.60,1.41,-2.64,0.15,-0.10,0.26
-8.25,3.11,-2.54,0.30,-0.06,0.40
-8.42,4.62,-2.33,0.51,0.02,0.67
-8.19,5.62,-1.83,0.82,0.07,0.85
-8.04,5.96,-1.53,1.16,0.07,0.94
-8.44,6.11,-1.33,1.47,0.03,1.07
-9.70,5.85,-1.01,1.78,0.04,1.09
-10.26,5.50,-0.49,2.01,0.10,1.27
-10.24,6.19,0.08,2.28,0.14,1.44
-9.52,5.49,0.98,2.70,0.16,1.45
-9.54,3.27,1.87,3.07,0.09,1.32
-10.93,0.47,2.16,3.33,0.07,1.17
-11.71,-3.53,2.23,3.42,0.15,1.07
-11.50,-7.55,2.21,3.24,0.28,1.12
-10.31,-10.85,1.84,2.81,0.35,1.21
-8.80,-12.11,1.50,2.26,0.27,1.20
-8.11,-11.82,1.19,1.76,0.09,1.03
-9.53,-10.62,0.52,1.37,-0.03,0.72
-9.66,-10.40,0.12,1.04,-0.00,0.46
-9.42,-9.79,-0.30,0.65,0.04,0.45
-8.92,-8.11,-0.40,0.34,0.09,0.41
-8.11,-6.44,-0.44,0.14,0.08,0.38
-8.11,-5.44,-0.80,0.03,0.05,0.33
-8.19,-4.98,-1.01,-0.06,0.06,0.23
-7.21,-4.34,-0.80,-0.16,0.05,0.18
-7.03,-3.90,-0.74,-0.20,-0.06,0.03
-8.11,-4.29,-1.09,-0.24,-0.11,-0.15
-9.14,-4.85,-1.39,-0.35,-0.03,-0.23
-8.61,-5.23,-1.09,-0.50,0.11,-0.30
-7.31,-5.60,-0.52,-0.65,0.14,-0.38
-7.40,-6.79,-0.16,-0.83,0.09,-0.31
-7.69,-7.48,0.17,-1.06,0.09,-0.18
-6.95,-7.96,0.80,-1.29,0.12,-0.17
-5.36,-8.25,1.45,-1.53,0.04,-0.30
-4.92,-7.92,2.05,-1.76,-0.18,-0.44
-5.37,-8.38,2.15,-2.06,-0.42,-0.58
-6.82,-7.91,2.04,-2.48,-0.62,-0.53
-8.97,-5.65,1.82,-2.90,-0.65,-0.47
-9.68,-1.74,1.88,-3.15,-0.52,-0.40
-8.66,2.15,2.03,-3.09,-0.44,-0.45
-8.20,4.33,1.81,-2.74,-0.53,-0.62
-8.86,2.96,0.85,-2.41,-0.64,-0.81
-9.92,1.54,0.13,-2.27,-0.71,-1.03
-11.06,1.72,-0.25,-2.23,-0.74,-1.02
-12.37,2.68,-0.71,-2.20,-0.68,-0.76
-12.84,3.80,-0.83,-2.04,-0.56,-0.54
-12.50,3.37,-1.08,-1.82,-0.45,-0.43
-11.89,2.21,-1.18,-1.67,-0.40,-0.46
-12.21,2.24,-1.33,-1.56,-0.39,-0.63
-12.93,2.50,-1.57,-1.45,-0.28,-0.60
-12.44,2.80,-1.61,-1.35,-0.11,-0.22
-11.17,3.40,-1.43,-1.18,0.03,0.07
-9.66,3.56,-1.35,-0.91,0.08,0.07
-8.63,3.33,-1.16,-0.58,0.07,-0.03
-7.98,2.25,-1.01,-0.30,0.01,-0.06
-8.03,1.41,-1.11,-0.10,-0.05,-0.13
-8.78,1.21,-1.20,0.02,-0.04,-0.07
-8.86,1.55,-1.25,0.11,0.01,0.06
-8.87,1.88,-1.13,0.22,0.05,0.15
-8.74,2.55,-1.01,0.34,0.07,0.22
-8.96,2.95,-0.94,0.49,0.06,0.22
-9.54,3.43,-1.02,0.63,0.09,0.20
-9.79,4.09,-0.84,0.79,0.16,0.26
-9.49,4.44,-0.61,0.98,0.21,0.40
-9.66,4.01,-0.57,1.16,0.24,0.63
-9.28,3.90,-0.42,1.31,0.27,0.77
-8.74,4.30,-0.03,1.52,0.24,0.78
-8.85,3.67,0.26,1.79,0.17,0.75
-9.80,2.26,0.33,2.01,0.15,0.74
-11.12,-0.88,0.61,2.09,0.23,0.94
-9.80,-4.30,1.12,1.93,0.32,1.17
-6.85,-5.28,1.28,1.76,0.16,1.07
-6.77,-4.30,1.41,1.86,-0.16,0.41
-8.96,-5.76,1.08,2.07,-0.31,-0.02
-10.57,-9.59,0.65,2.04,-0.20,-0.13
-10.24,-12.97,0.05,1.66,-0.02,-0.07
-8.76,-14.02,-0.47,1.00,0.06,0.03
-8.68,-12.48,-0.87,0.33,0.04,0.20
-9.38,-9.46,-1.02,-0.19,0.10,0.24
-8.98,-6.11,-0.86,-0.46,0.19,0.24
-7.86,-3.85,-0.88,-0.54,0.21,0.18
-7.18,-2.27,-0.81,-0.49,0.13,0.08
-7.69,-1.82,-1.13,-0.42,0.02,0.00
-8.54,-1.52,-1.38,-0.38,-0.04,-0.02
-9.08,-1.03,-1.49,-0.34,-0.05,0.01
-9.52,-0.45,-1.52,-0.27,-0.02,0.07
-9.91,-0.22,-1.64,-0.15,0.04,0.04
-9.51,-0.31,-1.68,-0.03,0.10,-0.08
-9.30,-0.36,-1.73,0.08,0.12,-0.04
-9.19,-0.79,-1.64,0.15,0.12,0.10
-9.49,-1.09,-1.60,0.18,0.11,0.22
-9.57,-0.95,-1.73,0.21,0.12,0.35
-10.24,-2.18,-1.81,0.26,0.11,0.06
-10.28,-2.72,-1.92,0.21,0.12,-0.13
-10.69,-2.62,-1.71,0.16,0.10,-0.26
